"","x","y","z"
"1",-16,-15,17
"2",-14,-4,18
"3",-13,4,17.5
"4",-7,5,19
"5",-6,-43,22
"6",-6,-36,24
"7",1,-50,17.4
"8",2,-39,23
"9",2,-8,23.5
"10",2,-51,15
"11",9,-16,23.5
"12",9,-42,25
"13",17,-37,16.5
"14",18,-12,19.5
"15",24,-57,12
"16",25,-29,18.5
"17",26,-40,18
"18",32,-7,14
"19",33,-35,19
"20",40,4,13.5
"21",40,-61,18
"22",44,-29,19.4
"23",48,-65,13
"24",48,-7,14
"25",49,-32,19.5
"26",55,-71,16
"27",56,-14,16
"28",59,-38,19
"29",62,7,19
"30",62,-3,21.5
"31",64,-29,22
"32",69,-28,20.5
"33",70,-72,11
"34",77,-19,26
"35",78,-53,22
"36",79,-37,26
"37",84,-52,16
"38",84,-16,16
