Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
35447,drowned,drowning or exhaustion related death,United,2004-09-19T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,5,"drowned, after their boat capsized in stormy waters off of the Greek coast near Samos (Sep 19, 2004). From Del Grande's data set (translated): Sink a small boat off the coast of Samos. 5 dead, 7 missing (Sep 13, 2004)",samos,37.743215,26.820351,"37.743215, 26.820351",218,"Event at Samos on Sep 19, 2004",Eastern Mediteranean route Sea,PICUM,http://www.ekathimerini.com/4dcgi/_w_articles_politics_100014_13/09/2004_47220
35448,unknown,unknown - supposedly exhaustion related death,Del grande,2004-09-14T00:00:00Z,3Q2004,2004 -- 9,2004,5,0,5,"Found along the coast of Lesvos 5 corpses (Sep 15, 2004)",lesvos,39.16408,26.372171,"39.16408, 26.372171",101,"Event at Lesvos on Sep 14, 2004",Eastern Mediteranean route Sea,Kathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_politics_100023_15/09/2004_47310
35449,drowned,drowning or exhaustion related death,Del grande,2004-09-09T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"Melilla found the body of a drowned man, Hipica along the beach, a few hundred meters from the Moroccan port of Beni-Enzar (Sep 10, 2004)",melilla,35.292278,-2.938097,"35.292278, -2.938097",79,"Event at Melilla on Sep 09, 2004",Western Mediteranean route,Apdha,http://docs.google.com/viewer?url=http://www.december18.net/web/docpapers/doc2321.pdf
35451,drowned,drowning or exhaustion related death,United,2004-09-08T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,5,"reportedly drowned after shipwreck near Fuerteventura (Sep 8, 2004). From Del Grande's data set (translated): Sinking boat off the Canary Islands game from the Sahara, 5 dead (Sep 9, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Sep 08, 2004",Western African route,MUGAK/PICUM/MNS,http://www.elpais.com/articulo/espana/Desaparecen/inmigrantes/hundirse/patera/dirigian/Fuerteventura/elpepuesp/20040909elpepunac_8/Tes
35450,drowned,drowning or exhaustion related death,United,2004-09-08T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,8,"reportedly drowned 50 km from Entellada-Fuerteventura (E) (Sep 8, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Sep 08, 2004",Western African route,MUGAK/APDHA/Statewatch,
35452,suicide - jumped in water,suicide,United,2004-09-08T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"suicide, during his deportation from Almeria (E) to Al-Hoceima (MA) (Sep 8, 2004)",hoceima,35.249299,-3.937112,"35.249299, -3.937112",149,"Event at Hoceima on Sep 08, 2004",Western Mediteranean route,MUGAK/APDHA/PICUM,
35453,suicide - hanged,suicide,United,2004-09-07T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"suicide, found hanged in Forest /Vorst Prison (Bruxelles), misterious circumstances (Sep 7, 2004)",bruxelles,50.85034,4.35171,"50.85034, 4.35171",5,"Event at Bruxelles on Sep 07, 2004",,ISMD/UE/INDbe/EmekaIst.,
35454,drowned,drowning or exhaustion related death,United,2004-09-06T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"drowned,body found in Lanzarote (E) (Sep 6, 2004)",lanzarote,29.046854,-13.589973,"29.046854, -13.589973",74,"Event at Lanzarote on Sep 06, 2004",Western African route,MUGAK,
35455,drowned,drowning or exhaustion related death,Del grande,2004-09-03T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"Recovered the corpse of a drowned man along the beaches of Ceuta in Benz (Sep 4, 2004)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",213,"Event at Ceuta on Sep 03, 2004",Western Mediteranean route,El Pais,http://www.elpais.com/articulo/espana/numero/inmigrantes/llegados/patera/ha/descendido/va/ano/elpepiesp/20040904elpepinac_11/Tes
35456,unknown,unknown - supposedly exhaustion related death,Del grande,2004-09-02T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"Fished in the waters of Tangier, the bodies of two castaways (Sep 3, 2004)",tangier,35.766667,-5.8,"35.766667, -5.8",190,"Event at Tangier on Sep 02, 2004",Western Mediterranean route,Apdha,http://docs.google.com/viewer?url=http://www.december18.net/web/docpapers/doc2321.pdf
35457,drowned,drowning or exhaustion related death,Del grande,2004-08-30T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,1,"Found in the waters of the port of Algeciras the body of a drowned man (Aug 31, 2004)",algeciras,36.132977,-5.453909,"36.132977, -5.453909",29,"Event at Algeciras on Aug 30, 2004",Western Mediteranean route,El Pais,http://www.elpais.com/articulo/espana/Interceptados/220/papeles/Andalucia/Fuerteventura/elpepiesp/20040831elpepinac_12/Tes
35458,heat exhaustion,drowning or exhaustion related death,Del grande,2004-08-29T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,2,"Expelled from Libya and abandoned to the Egyptian border, 2 people died from the heat (Aug 30, 2004)",egypt,26.820553,30.802498,"26.820553, 30.802498",427,"Event at Egypt on Aug 29, 2004",,Whashington Times,http://washingtontimes.com/upi-breaking/20040829-095857-9521r.htm
35460,drowned,drowning or exhaustion related death,United,2004-08-28T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,2,"stowaways, bodies found in two trucks in Cairo (Egypt) on their way to Italy (Aug 28, 2004)",cairo,30.04442,31.235712,"30.04442, 31.235712",28,"Event at Cairo on Aug 28, 2004",Central Mediteranean route,ANA,
35459,drowned,drowning or exhaustion related death,United,2004-08-28T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,1,"drowned, found floating near harbor of Algesiras (E) (Aug 28, 2004)",algesiras,36.105114,-5.488268,"36.105114, -5.488268",6,"Event at Algesiras on Aug 28, 2004",Western Mediteranean route,MUGAK/APDHA,
35461,asphyxiated,drowning or exhaustion related death,United,2004-08-24T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,1,"stowaway, body found in the trunk of his girlfriend's car in Genova (I) (Aug 24, 2004)",genova,44.40565,8.946256,"44.40565, 8.946256",4,"Event at Genova on Aug 24, 2004",,RAI/ANSA/ILM,
35462,asphyxiated,drowning or exhaustion related death,United,2004-08-23T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,2,"stowaway, found dead in the roof luggage rack of a car on way to Spain (Aug 23, 2004). From Del Grande's data set (translated): A boy dies suffocated in the trunk of a car aboard a ferry to Algeciras where he was hiding to pass the Spanish border (Aug 25, 2004)",algeciras,36.132977,-5.453909,"36.132977, -5.453909",29,"Event at Algeciras on Aug 23, 2004",Western Mediteranean route,MNS,http://www.elpais.com/articulo/espana/detenidos/muerte/marroqui/asfixiado/coche/elpepiesp/20040825elpepinac_6/Tes
35463,drowned,drowning or exhaustion related death,United,2004-08-22T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,5,"1 drowned, 4 missing, boat capsized on way from Altinoluk (TR) to Lesbos Island (E) (Aug 22, 2004). From Del Grande's data set (translated): Sank off the Turkish coast in a small boat. 1 dead and 5 missing (Aug 23, 2004)",lesbos,39.16408,26.372171,"39.16408, 26.372171",101,"Event at Lesbos on Aug 22, 2004",Eastern Mediteranean route Sea,IMK,http://www.turkishpress.com/turkishpress/news.asp?ID=25067
35466,drowned,drowning or exhaustion related death,United,2004-08-21T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,4,"reportedly drowned, missing after shipwreck off the coast of Nordägäis (Aug 21, 2004)",agean,37.075546,25.520736,"37.075546, 25.520736",70,"Event at Agean on Aug 21, 2004",Eastern Mediteranean route Sea,DerStandard,
35465,drowned,drowning or exhaustion related death,United,2004-08-21T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,1,"drowned, body found after shipwreck by fishermen off the Turkish coast of Nordägäis (Aug 21, 2004)",agean,37.075546,25.520736,"37.075546, 25.520736",70,"Event at Agean on Aug 21, 2004",Eastern Mediteranean route Sea,DerStandard,
35464,drowned,drowning or exhaustion related death,Del grande,2004-08-21T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,2,"Recovered the bodies of two men drowned off the coast of Motril, near Granada, and Los Barrios, near Cadiz (Aug 22, 2004)",barrios,43.351149,-8.185424,"43.351149, -8.185424",12,"Event at Barrios on Aug 21, 2004",,El Pais,http://www.elpais.com/articulo/andalucia/Detenidos/197/inmigrantes/recuperados/cadaveres/elpepuespand/20040822elpand_2/Tes
35471,drowned,drowning or exhaustion related death,United,2004-08-20T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,3,"drowned, found in Los Pajaritos (E), after shipwreck near Fuerteventura (E)  (Aug 20, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Aug 20, 2004",Western African route,ELM/GRP/ANA/MUGAK/Statewatch/La Opini√õn,
35470,drowned,drowning or exhaustion related death,United,2004-08-20T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,1,"drowned, body found in Los Pajaritos (E), after shipwreck near Fuerteventura (E) (Aug 20, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Aug 20, 2004",Western African route,ELM/GRP/ANA/MUGAK/La Opini√õn,
35469,drowned,drowning or exhaustion related death,United,2004-08-20T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,2,"drowned,after a shipwreck off the coast of Fuerteventura (E) (Aug 20, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Aug 20, 2004",Western African route,Statewatch,
35467,drowned,drowning or exhaustion related death,Del grande,2004-08-20T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,4,"Landing in Fuerteventura. At 20 meters from the shore passengers jumping into the water to touch believing. 4 of them die drowned not knowing to swim (Aug 21, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Aug 20, 2004",Western African route,El Pais,http://www.elpais.com/articulo/espana/inmigrantes/papeles/mueren/volcar/patera/metros/costa/canaria/elpepuesp/20040821elpepunac_4/Tes
35472,drowned,drowning or exhaustion related death,United,2004-08-20T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,2,"drowned, jumped overboard in fear of border guards near Motril (E) (Aug 20, 2004)","Motril, spain",36.748374,-3.516861,"36.748374, -3.516861",69,"Event at Motril, Spain on Aug 20, 2004",Western Mediteranean route,ELM/LOP/APDHA/MUGAK/StW,
35468,drowned,drowning or exhaustion related death,United,2004-08-20T00:00:00Z,3Q2004,2004 -- 8,2004,0,0,1,"dead body found on the beach in Granada (E) (Aug 20, 2004)",granada,37.177336,-3.598557,"37.177336, -3.598557",38,"Event at Granada on Aug 20, 2004",Western Mediteranean route,MUGAK/Statewatch,
