Event_id,cause_of_death,dataset,date,quarter,Date-month,Year,dead,dead_and_missing,description,latitude,location,longitude,latlong,missing,name,route,source,source_url
,Drowned,,2015-06-15T00:00:00Z,2Q2014,2015 -- 6,2015,1,3,A rubber boat capsized during a rescue operation. 3 men died.,34,Central Med,14,"34, 14",2,,Central Mediterranean,MSF,http://www.msf.org.uk/article/migrants-saddened-by-loss-of-life-during-rescue
,Died of thirst,,2015-06-14T00:00:00Z,2Q2015,2015 -- 6,2015,18,18,"A pickup truck got lost in the desert outside of Arlit, Niger",19.213588,"Off Arlit, Niger",6.800537,"19.213588, 6.800537",0,,,Reuters,http://news.yahoo.com/18-migrants-found-dead-nigers-desert-iom-says-140938318.html
,Hit by a car,,2015-06-01T00:00:00Z,2Q2015,2015 -- 6,2015,1,1,A 20 years old guy hitted by a car while crossing the highway,50.9247443,"Coquelles, France",1.8000638,"50.9247443, 1.8000638",0,1 migrant die while crossing the highway,Central Mediterranean route,La Voix du Nord,http://www.lavoixdunord.fr/region/coquelles-un-migrant-tue-en-traversant-l-a16-la-nuit-ia33b48583n2859280
,Unknown,,2015-05-31T00:00:00Z,2Q2015,2015 -- 5,2015,17,17,"17 bodies were found on three inflatable dinghies, from which more than 300 other migrants were rescued alive",34.542858,Off Libya,13.704729,"34.542858, 13.704729",0,17 bodies found on three inflatable dinghies,Central Mediterranean route,AFP,http://www.businessinsider.com/afp-4200-migrants-rescued-in-med-friday-17-dead-coastguard-2015-5#ixzz3buespTga
,Unknown,,2015-05-29T00:00:00Z,2Q2015,2015 -- 5,2015,11,11,The Italian navy found 11 dead migrants on boats headed across the Mediterranean to Europe ,33.641882,Off Libya,12.847345,"33.641882, 12.847345",0,Italian navy finds 11 dead migrants,Central Mediterranean route,AFP,http://news.yahoo.com/italian-navy-finds-11-dead-migrants-rescues-hundreds-160013554.html
,Drowned,,2015-05-25T00:00:00Z,2Q2015,2015 -- 5,2015,5,5,"Five African migrants drowned in the Mediterranean after jumping from their boat which was intercepted by the Egyptian coastguard, reported security officials.",33.44238,Off Egypt,25.610113,"33.442380, 25.610113",0,5 migrants drowned in Mediterranean,Central Mediterranean route,Le Figaro,http://www.lefigaro.fr/flash-actu/2015/05/25/97001-20150525FILWWW00083-cinq-migrants-noyes-en-mediterranee.php
,Drowned,,2015-05-23T00:00:00Z,2Q2015,2015 -- 5,2015,5,5,The bodies of five Tunisian migrants trying to reach the Italian island of Lampedusa were recovered off Tunisia,35.696508,Off Téboulba,11.107726,"35.696508, 11.107726",0,5 Tunisian migrants died trying to reach the Italian island Lampedusa,Central Mediterranean route,Le Figaro,http://www.lefigaro.fr/flash-actu/2015/05/23/97001-20150523FILWWW00055-cinq-migrants-morts-en-mer-49-secourus.php
,Suffocation,,2015-05-12T00:00:00Z,2Q2015,2015 -- 5,2015,1,1,A youg afghan has been found dead in a truck,45.7283752,"Genas, France",5.0131031,"45.7283752,5.0131031",1,A youg afghan has been found dead in a truck,,Lyon Capitale,http://www.lyoncapitale.fr/Journal/Lyon/Actualite/Actualites/Accident/Un-jeune-migrant-afghan-retrouve-mort-a-Genas
81067,Drowned,,2015-05-05T00:00:00Z,2Q2015,2015 -- 5,2015,40,40,The Save the Children aid group said on Tuesday rescued migrants disembarking in Sicily had told its personnel there that around 40 of their fellow travelers had drowned during the journey.        ,37.2,Sicily (strait of)        ,11.199903,"37.2, 11.199903",0,40 Migrants Reported Dead After Dinghy Burst at Sea on May 5 2015,Central Mediterranean route,The wall street journal,http://www.wsj.com/articles/40-migrants-reported-dead-after-dinghy-burst-at-sea-1430828951
80997,Drowned,,2015-05-03T00:00:00Z,2Q2015,2015 -- 5,2015,10,10,"Hundreds of migrants were rescued from at least 16 boats off Libya's coast Sunday, but at least 10 bodies were recovered in the rescue operations involving the Italian Coast Guard.        ",33.06503,Off Libya,13.413009,"33.065030, 13.413009",0,"Hundreds of migrants rescued and 10 dead in sea off Libya, 3 May 2015",Central Mediterranean route,usatoday,http://www.usatoday.com/story/news/world/2015/05/03/italy-coast-guard-rescue-migrants-sea/26824999/
