"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Hong Kong SAR, China","HKG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8161","4414","2605","1848","1700","1481","1348","1229","1039","974","983","1390","1496","1902","1868","1934","1940","97","103","86","154","152","117","126","",
"Honduras","HND","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237100","101961","100348","65","104","63","63","9","9","9","12","20","29","23","23","22","22","22","24","19","14","17","16","16","",
"Heavily indebted poor countries (HIPC)","HPC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5630764","4742660","4697253","5476302","6144296","5405334","3883435","3018062","2865880","3032305","3119864","2734109","2734412","2501058","2402802","2226857","2062768","1950301","1714977","1635849","1693627","1932462","1982437","2153925","",
"Croatia","HRV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403000","287000","183600","198647","165395","68863","29027","28374","22437","21875","8392","4387","3663","2927","2443","1642","1597","1238","936","824","724","684","",
"Haiti","HTI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","3","","","","","",
"Hungary","HUN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45123","73838","32412","3023","2906","11394","7537","5890","3504","4990","5064","4710","6088","7023","7708","8046","8075","8131","7750","6044","5414","5106","4054","2440","",
"Indonesia","IDN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3278","3156","3530","2402","97","19","61","34","47","162506","122618","73551","28596","233","169","89","301","315","369","798","811","1006","1819","3206","",
"Isle of Man","IMN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212743","210569","258372","262798","258341","227480","233370","223073","185516","180031","170941","169549","168855","164757","162687","139283","158366","161537","184543","185323","184821","185118","185656","188395","",
"Not classified","INX","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360","300","500","119","400","400","69","430","600","2835","2543","3598","5380","5971","6542","7113","7917","9333","9730","9571","9107","8248","6327","6001","",
"Iran, Islamic Rep.","IRN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4174401","4404995","4150723","2495038","2236350","2071988","2030359","1982553","1931332","1835688","1868000","1868000","1306599","984896","1045976","974302","968370","963546","980109","1070488","1073366","886468","868242","857354","",
"Iraq","IRQ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","87990","115000","109066","119581","116722","112957","104032","104022","128913","127787","128142","134190","46721","46053","50177","44406","42354","39503","35218","34655","35189","98822","246298","",
"Iceland","ISL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","141","154","160","160","197","232","260","294","254","244","213","207","239","239","293","267","49","49","62","83","58","60","79","",
"Israel","ISR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","128","4075","4168","4179","4179","574","609","837","1156","9137","17736","25471","41235","48505","48325","",
"Italy","ITA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10840","9813","9258","50276","73060","74302","64711","66620","5473","6024","6849","8571","10060","12841","15674","20675","26875","38068","47061","54965","56397","58060","64779","78061","",
"Jamaica","JAM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","90","63","41","23","25","33","37","37","38","","","","","","","","","26","21","20","20","21","",
"Jordan","JOR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","929737","1001357","1073007","1145025","1216957","1288895","1359580","1438104","1488226","1542417","1610638","1663294","1699470","1741366","1777769","1828842","2358591","2403771","2452016","2434489","2450381","2430589","2337348","2712888","",
"Japan","JPN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6819","6397","6669","6495","5942","5435","5278","4851","4492","4235","3752","3200","2657","2266","1967","1941","1844","1794","2019","2332","2586","2649","2581","2584","",
"Kazakhstan","KAZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","5030","15561","15577","15577","8338","14795","20574","19531","20610","15831","15844","7265","4412","4285","4352","4340","4406","616","564","584","",
"Kenya","KEN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14249","120163","402194","301595","252423","234665","223640","232097","238187","223696","206106","239221","233671","237512","239835","251271","272531","265729","320605","358928","402905","566487","564933","534938","",
"Kyrgyz Republic","KGZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21242","21239","13407","16707","15276","14560","10849","10609","9296","7708","5591","3753","2598","366","723","375","423","2458","6095","4941","466","",
"Cambodia","KHM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","10","15","16","14","21","21","34","50","200","76","382","127","99","179","164","135","129","64","77","68","",
"Kiribati","KIR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","162","149","","","5","6","3","1","7","6","7","17","25","44","69","96","118","172","268","358","401","487","547","",
"Kosovo","","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45590","44879","30000","30020","3306","3831","3787","4182","4334","2776","1255","1521","1518","1519","1523","50","38159","38238","221","184","335","674","635","",
"Latin America & Caribbean (developing only)","LAC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1174643","877558","867412","110990","94638","81508","75896","71928","62590","58484","34780","34197","37869","35042","32364","33340","35440","324842","144477","161149","167166","170489","171653","172236","",
"Lao PDR","LAO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304599","316095","325707","329705","338700","348031","355076","365160","371294","377612","382744","387733","392053","397054","400905","405248","428602","464299","472607","476053","463436","445144","575483","447328","",
"Liberia","LBR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100048","150153","120163","120080","120061","126886","96317","96317","69315","54760","64956","33997","15172","10168","16185","10466","10224","6952","24743","128293","65909","53253","",
"Libya","LBY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1185","1999","3973","7747","8481","10558","10535","11543","11664","11666","11897","12166","12166","2760","4098","6713","9005","7923","10130","7065","25561","",
"St. Lucia","LCA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","2","2","5","",
"Latin America & Caribbean (all income levels)","LCN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1188273","890960","881523","125283","109046","93858","88421","83220","65566","61527","37851","37131","40878","38299","36190","37749","40577","530550","350274","367437","373865","377782","380736","381949","",
"Least developed countries: UN classification","LDC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5154454","4544317","4789360","5414332","5941773","5227254","3699472","2943632","2868489","3037679","3065660","2693154","2759372","2476180","2404576","2266833","2171614","2085767","1880805","1920287","1954960","2310969","2533521","2757733","",
"Low income","LIC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3965732","3587337","3705996","4205531","4711765","4177804","2973435","2243890","2131177","2301577","2265302","1920300","2033966","1980748","1955847","1828887","1692862","1539545","1368449","1205969","1236232","1602298","1754830","1957394","",
"Liechtenstein","LIE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","141","128","149","149","150","277","283","89","91","92","94","102","97","",
"Sri Lanka","LKA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","21","19","13","16","14","26","29","21","16","17","28","30","63","106","162","182","269","251","223","188","110","145","",
"Lower middle income","LMC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6976156","6580889","5928645","5692830","5203859","5027492","4738583","4627088","4709771","4862607","5809623","6011126","4992134","4722100","4852951","4655187","5224067","7045537","6480670","6784792","7123303","6702581","6426896","6090272","",
"Low & middle income","LMY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17641443","17099622","16713098","15274672","14933911","14150999","12594919","11807981","11792871","12128070","12894036","12810071","11384847","10651170","10880952","10437282","11519510","13543140","12718790","12967143","13343231","13058224","13264334","13926684","",
"Lesotho","LSO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214","220","117","60","58","","","","","1","","39","","","","","","","","","","34","34","30","",
"Lithuania","LTU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","34","44","55","287","368","403","470","531","531","688","751","793","803","821","871","916","",
"Luxembourg","LUX","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","687","692","2208","225","300","700","700","700","700","700","759","1201","1201","1201","1590","1822","2206","2737","3109","3230","3254","2855","2910","2873","",
"Latvia","LVA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","6","7","8","7","17","11","11","21","29","32","43","68","95","125","160","",
"Macao SAR, China","MAC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205","116","15","10","9","8","","","","","","","","","","","","","","6","","1","","","",
"St. Martin (French part)","MAF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","311","322","319","336","336","55","51","57","901","901","2105","2091","2127","2121","2121","219","503","786","766","773","792","736","744","1470","",
"Monaco","MCO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","34","",
"Moldova","MDA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","68","159","173","102","57","84","161","151","148","141","148","146","185","250","",
"Madagascar","MDG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","","","","","28","50","34","","","","","","","","","","9","9","12","",
"Maldives","MDV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (all income levels)","MEA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6858896","7452190","7387352","5887941","5779933","5700322","5779902","5843512","5913189","5932384","6096361","6464801","6093053","5783912","5945544","5935398","7218709","8227068","7989433","7834349","7975540","7424262","7328907","7449506","",
"Mexico","MEX","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","356400","360170","360991","52477","47363","38717","34569","31908","28251","24511","18451","15455","12962","6075","4343","3229","3319","1616","1055","1235","1395","1677","1520","1831","",
"Marshall Islands","MHL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13675711","13512285","13007102","11069141","10222146","9973195","9621484","9564091","9661694","9826493","10628734","10889771","9350881","8670422","8925105","8608395","9826648","12003595","11350341","11761174","12106999","11455926","11509504","11969290","",
"Macedonia, FYR","MKD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000","31452","14891","9048","5089","3500","1700","21200","9050","4363","2816","193","1004","1274","1240","1235","1672","1542","1398","1130","1077","982","",
"Mali","MLI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13411","13120","13109","15224","15800","17916","18234","12552","13598","8302","8412","8439","9095","10009","11256","11233","10585","9203","9578","13538","13558","15624","13928","14316","",
"Malta","MLT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","505","429","416","367","343","296","271","190","176","307","895","1558","1939","2404","3000","4332","5955","6136","6952","8248","9906","",
"Myanmar","MMR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (developing only)","MNA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6857116","7373339","7313813","5832978","5731138","5683024","5765388","5833030","5902624","5921581","6083417","6213310","5841547","5536279","5701183","5690469","6974418","7943799","7696877","7809389","7942335","7374102","7269765","7388916","",
"Montenegro","MNE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6926","8528","24741","24019","16364","12874","11198","8476","",
"Mongolia","MNG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","11","11","12","1","4","9","",
"Northern Mariana Islands","MNP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","420","299","202","322","128","198","72","52","220","207","207","207","311","623","1954","2558","2767","3163","3547","4077","4079","4398","4445","",
"Mauritania","MRT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60000","35200","37500","51548","82229","34394","15880","7511","26","223","350","365","405","475","473","632","770","30471","27041","26795","26717","26535","80496","92767","",
"Mauritius","MUS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","14","","","","","","","","","","","","","",
"Malawi","MWI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","926725","981812","1058498","713607","90242","1018","1268","280","1245","1700","3900","6200","2166","3202","3682","4240","3943","2929","4175","5443","5740","6308","6544","5796","",
"Malaysia","MYS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14862","13947","11399","154","5308","5278","5309","5285","50614","50517","50487","50466","50612","7424","24905","33693","37170","32658","36671","66137","81516","86680","90185","97513","",
"North America","NAC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","619648","684798","763675","806310","817614","775419","745459","689021","653340","644459","635213","645077","615121","585642","562252","526511","995325","456960","453199","444895","430123","429646","425779","424011","",
"Namibia","NAM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136","171","585","1144","1682","2204","2511","3820","7612","27263","30885","21651","19800","14773","5307","5462","6525","6799","7163","7254","6049","1806","2332","",
"New Caledonia","NCL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","792","1385","3699","16692","15070","27622","25845","7376","3691","350","58","83","296","328","344","301","317","319","320","325","314","302","50510","57661","",
"Nigeria","NGA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3571","3573","4782","4829","6026","8118","8486","9071","6780","6941","7270","7200","7355","9171","8395","9019","8768","8460","10124","9127","8747","8806","3154","1694","",
"Nicaragua","NIC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16000","14933","14450","5643","314","577","557","465","474","471","332","325","325","300","292","227","199","184","147","120","64","86","129","189","",
"Netherlands","NLD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17337","19020","29739","43538","62163","79960","102588","118071","131490","138646","146180","151928","148362","140886","126805","118189","100574","86587","77600","76008","74961","74598","71909","74707","",
"High income: nonOECD","NOC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23897","96937","493323","357968","248373","229668","440219","329364","171974","122971","61469","291624","275458","263352","255589","255703","255019","492043","495129","222005","223188","223988","226813","229596","",
"Norway","NOR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19581","29054","29846","38375","44617","47607","48409","47381","45334","43440","47693","50128","50432","46109","44046","43034","43336","34522","36101","37826","40260","40691","42822","46106","",
"Nepal","NPL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17800","28319","95251","105342","123271","124754","126815","129157","126101","127940","129237","130945","132436","123667","124928","126436","128175","130681","124832","108461","89808","72654","56264","46305","",
"New Zealand","NZL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4666","16760","17310","3942","3668","3758","3788","3646","4097","4800","4923","5264","5757","5807","5350","5307","4906","2740","2716","3289","2307","1934","1517","1403","",
"High income: OECD","OEC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2140348","2218364","2817110","3086353","3143312","3037361","3066867","2797053","2587360","2612805","2495731","2541615","2605042","2523320","2394126","2170691","2551607","1918570","1947703","1974062","1949929","1920313","1926725","1571110","",
"OECD members","OED","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2524748","2608996","3206578","3162097","3215602","3088919","3109602","2831407","2618139","2640131","2517285","2560542","2621305","2531885","2401502","2176319","2557559","1927142","1959861","1985647","1961356","1936455","2195308","2182879","",
"Oman","OMN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","26","78","83","138","138","",
"Other small states","OSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124572","152218","100434","107038","62466","52710","51192","51097","48179","72257","92343","89444","80044","79382","65020","43127","55557","56540","76284","73936","67540","62469","54767","53825","",
"Pakistan","PAK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3255975","3099891","1629218","1479266","1055435","1202493","1202703","1202734","1202462","1202015","2001466","2198797","1227433","1124298","1290984","1084694","1044462","2035023","1780935","1740711","1900621","1702700","1638456","1616507","",
"Panama","PAN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1350","914","1007","964","972","867","867","622","1188","1321","1313","1470","1573","1445","1608","1730","1848","16890","16913","16923","17073","17262","17429","17665","",
"Peru","PER","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724","683","640","738","659","610","663","750","433","702","687","683","688","718","766","848","911","995","1075","1108","1146","1144","1122","1162","",
"Philippines","PHL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19860","8972","6722","2477","669","783","691","311","307","170","176","136","114","108","107","96","100","106","104","95","243","125","141","182","",
"Palau","PLW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","1","1","1","",
"Papua New Guinea","PNG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7099","6098","6686","7670","8461","9601","10176","8198","8198","6666","5863","4941","4941","7491","7627","9999","10183","10003","10006","9703","9698","9377","9383","9378","",
"Poland","POL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","2719","810","393","600","600","835","898","942","1020","1311","1591","1836","2507","4604","6790","10053","12774","15320","15555","15847","15911","16438","",
"Puerto Rico","PRI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. Rep.","PRK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","867","998","1778","600","248","248","308","319","339","379","433","449","462","418","377","363","333","353","403","389","384","408","483","598","",
"Paraguay","PRY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","45","52","60","60","53","47","30","19","21","21","21","28","41","50","59","62","75","89","107","124","133","136","",
"Pacific island small states","PSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","2009","800","210","","","","","","","","2","3","4","18","5","10","12","11","",
"French Polynesia","PYF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","31","67","46","46","46","46","46","46","13","29","51","80","80","130","",
"Romania","ROU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","651","520","1170","1170","194","269","640","989","1242","1685","1805","1857","2011","1627","2056","1658","1757","1596","1069","1021","1005","1262","1770","",
"Russian Federation","RUS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246691","237720","128574","80060","26265","17970","14969","9899","1852","1523","1425","1655","3479","4880","4922","3914","3178","3458","",
"Rwanda","RWA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23601","34004","25162","277000","6000","7792","25257","34227","33403","34365","28398","34786","30863","36608","50221","45206","49192","53577","55062","54016","55398","55325","58212","73349","",
"South Asia","SAS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3486713","3379092","2288041","2078511","1572419","1625466","1612369","1576598","1536385","1532217","2323287","2521487","1550780","1432566","1599141","1371649","1357511","2355038","2119005","2263369","2411160","2193338","2127370","2099360","",
"Saudi Arabia","SAU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33261","28660","24025","17965","13169","9852","5833","5531","5562","5309","245268","245290","240835","240552","240701","240772","240742","240572","575","582","599","577","559","",
"Sudan","SDN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1031050","729200","725900","745200","727174","674071","393874","374415","391496","390995","414928","349209","328176","138163","141588","147256","196200","222722","181605","186292","178308","139415","152194","159857","",
"Senegal","SEN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58113","71908","71620","73002","72994","66769","65044","57229","60823","21539","20766","20707","20711","20726","20804","20712","20591","20421","33193","22151","20672","20644","14237","14247","",
"Singapore","SGP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146","166","115","11","12","112","10","5","5","1","","2","2","1","1","3","1","10","10","7","7","3","3","3","",
"Solomon Islands","SLB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","2000","800","210","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125830","28036","5866","16279","15874","4675","13532","13011","9866","6570","6546","10501","63494","61194","65437","59965","27365","8795","7826","9051","8363","8092","4204","2817","",
"El Salvador","SLV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20300","20099","19903","163","156","154","150","109","33","24","59","69","74","246","235","49","39","39","32","30","38","38","45","44","",
"San Marino","SMR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
