"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Belize","BLZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30657","29969","20351","8912","8857","8750","8534","8387","3483","2891","1250","1129","1049","861","732","624","488","358","277","230","134","78","28","21","",
"Bermuda","BMU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","341","491","669","734","681","698","333","349","350","351","347","350","527","524","535","567","632","664","679","695","716","733","748","",
"Brazil","BRA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5335","5389","5439","6198","2223","2050","2212","2260","2347","2378","2722","2884","3182","3193","3345","3458","3492","20783","3852","4232","4357","4477","4689","5196","",
"Barbados","BRB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Brunei Darussalam","BRN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1179","1054","497","514","503","266","214","281","2137","1296","3551","3581","2805","2838","2839","3109","3160","2465","3019","3022","2986","3312","2785","2773","",
"Central African Republic","CAF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284","12223","19040","44129","47791","33856","36564","38499","43013","49314","55661","49239","50725","44753","25020","24569","12357","7535","7429","27047","21574","16730","14014","14322","",
"Canada","CAN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154761","170916","183723","183241","186563","152125","138435","125184","119371","123316","126991","129224","129950","133094","141398","147171","151827","175741","173651","169434","165549","164883","163756","160349","",
"Central Europe and the Baltics","CEB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45123","75730","522368","339162","219630","239463","188898","84236","40388","42202","36205","37110","24102","23756","22538","25016","26416","29733","32346","32937","32590","32573","28941","30896","",
"Switzerland","CHE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40943","45622","51930","56586","75295","82943","84413","83203","81903","82298","57653","58494","54113","50144","47678","48030","48523","45653","46132","46203","48813","50416","50747","52464","",
"Channel Islands","CHI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","72","142","239","217","283","313","276","305","323","364","389","413","466","569","806","1134","1376","1613","1539","1621","1674","1695","1743","",
"China","CHN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287276","289061","288123","287423","287066","288309","290100","291507","292345","293299","294110","295325","297277","299354","299375","301041","301027","301078","300967","300989","300986","301018","301037","301047","",
"Cote d'Ivoire","CIV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272281","230290","174076","251588","360112","297908","327696","208502","151182","138429","120691","126239","44749","75971","72088","41627","27288","24647","24811","24604","26218","24221","3980","2980","",
"Cameroon","CMR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49876","45237","42233","44013","44036","45781","46407","47057","47826","49227","43680","41186","58288","58583","58861","52042","35083","60137","81037","99957","104275","100373","98969","114753","",
"Congo, Rep.","COG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2990","3395","3385","13646","15522","19404","20451","20697","27174","39870","123190","119147","109201","91362","68536","66075","55788","38472","24779","111411","133112","141232","98455","51037","",
"Colombia","COL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","450","478","298","316","218","220","223","226","230","239","210","205","186","141","155","143","168","170","196","212","219","219","224","",
"Comoros","COM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","11","13","","","","1","1","","","","","","","","",
"Cabo Verde","CPV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276210","117492","114392","24834","24630","24226","23176","23114","22986","22903","5519","8104","12433","13508","10413","11253","11515","17190","18136","19116","19505","20057","20449","20569","",
"Caribbean small states","CSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30657","29973","20867","9084","8937","8781","8607","8495","3600","3028","1388","1129","1049","861","732","624","488","381","311","294","220","160","112","94","",
