Case,Location,Date,Year,Summary,Fatalities,Injured,Total victims,Venue,Prior signs of possible mental illness,Mental Health,Weapons obtained legally,Where obtained,Type of weapons,Weapon details,Race,Gender,Sources,Mental Health Sources,latitude,longitude,Type
Goleta postal shootings,"Goleta, California",1/30/2006,2006,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.",8,0,8,Workplace,Yes,She was placed on retirement disability for psychological reasons. Fellow employees described her behavior as increasingly bizarre. She believed the Postal Service employees were conspiring against her.,Yes,"Pawn shops in Grants and Gallup, N.M.",One semiautomatic handgun,9mm Smith & Wesson 915 semiautomatic handgun,white,Female,http://www.msnbc.msn.com/id/11167920/ns/us_news-crime_and_courts/t/postal-killer-believed-she-was-target-plot/#.UIxy7kzLwTE; http://www.cbsnews.com/stories/2006/02/02/national/main1272077.shtml; ,http://www.msnbc.msn.com/id/11167920/ns/us_news-crime_and_courts/t/postal-killer-believed-she-was-target-plot/#.UNyN5cXhe75,34.436283,-119.8714406,Spree
Red Lake massacre,"Red Lake, Minnesota",3/21/2005,2005,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.",10,5,15,School,Yes,He voluntarily visited a a psychiatric ward. He was hospitalized at least once for suicidal tendencies and was taking Prozac.,No,Glock and Remington stolen from grandfather,"Two semiautomatic handguns, one shotgun",".40-caliber Glock 23, .22-caliber Ruger semiautomatic handguns; 12-gauge Remington 870 shotgun",Native American,Male,"http://news.google.com/newspapers?id=c4dIAAAAIBAJ&sjid=_XEDAAAAIBAJ&pg=5163,1527281&dq=jeffrey+weise+mental+ill&hl=en; http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story; http://www.usnews.com/usnews/news/articles/050404/4redlake.htm; http://www.foxnews.com/story/0,2933,151116,00.html",http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story,47.876346,-95.0169401,Spree
Living Church of God shooting,"Brookfield, Wisconsin",3/12/2005,2005,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",7,4,11,Religious,Yes,Neighbors said he suffered from depression and had a drinking problem.,Yes,"Gun dealer in Waukesha, Wis.",One semiautomatic handgun,9mm Beretta semiautomatic handgun,white,Male,"http://www.cbsnews.com/2100-201_162-679761.html; http://www.foxnews.com/story/0,2933,150255,00.html; http://www.msnbc.msn.com/id/7167861/ns/us_news-crime_and_courts/t/relatives-struggle-answers-after-shooting/#.UN3Scko6JT4",http://www.cbsnews.com/2100-201_162-679761.html,43.0605671,-88.1064787,Mass
Damageplan show shooting,"Columbus, Ohio",12/8/2004,2004,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.",5,7,12,Other,Yes,He was discharged from the military because he was a paranoid schizophrenic.,Yes,Received as a gift from mother,One semiautomatic handgun,9mm Beretta 92FS semiautomatic handgun,white,Male,http://www.cbsnews.com/2100-201_162-659983.html; http://www.knac.com/article.asp?ArticleID=3417; http://www.blabbermouth.net/news.aspx?mode=Article&newsitemID=86362,http://www.cbsnews.com/2100-201_162-659983.html,39.9622601,-83.0007065,Mass
Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,2003,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Workplace,Yes,"His cousin said he was depressed and ""going through a lot of things.""",Yes,Purchased from an individual,"One semiautomatic handgun, two rifles, one derringer, one shotgun",".45-caliber Ruger P90 semiautomatic handgun; .22-caliber rifle with scope, .223-caliber Ruger Mini-14 rifle; 12-gauge Winchester 1300 shotgun; .22 Magnum derringer",white,Male,http://usatoday30.usatoday.com/news/nation/2003-07-08-miss-shooting-main_x.htm; http://www.nytimes.com/2003/07/09/us/man-kills-5-co-workers-at-plant-and-himself.html; http://www.nytimes.com/2003/07/16/us/national-briefing-south-mississippi-death-toll-rises-in-plant-shooting.html,http://usatoday30.usatoday.com/news/nation/2003-07-08-miss-shooting-main_x.htm,32.376081,-88.68978002,Mass
Navistar shooting,"Melrose Park, Illinois",2/5/2001,2001,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.",5,4,9,Workplace,No,"He had a criminal past, including a sexual assault conviction.",Yes,"Some purchased from Pepper Sports in Glen Ellyn, Ill. ","Two rifles, one revolver, one shotgun","SKS 1954R, .30-caliber Winchester rifles; 12-gauge Remington pump-action shotgun; .38-caliber revolver",black,Male,http://articles.chicagotribune.com/2001-02-07/news/0102070122_1_navistar-gun-law-hunting-rifle; http://www.vpc.org/studies/wgun010205.htm,http://articles.chicagotribune.com/2001-02-07/news/0102070122_1_navistar-gun-law-hunting-rifle,41.9005865,-87.8567277,Mass
Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,2000,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Workplace,Yes,"Psychiatrist guessed he had schizophrenia, but McDermott had researched how to fake a mental illness on the internet. Defense lawyer described history of suicide attempts and mental illness dating back to teen years. Jury rejected his insanity defense. ",Yes,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",.32-caliber Retolaza semiautomatic handgun; AK-47 variant semiautomatic rifle; 12-gauge Winchester 1300 pump-action shotgun,white,Male,"http://www.time.com/time/magazine/article/0,9171,93313,00.html; http://articles.cnn.com/2002-04-22/justice/ctv.mcdermott.trial_1_michael-mcdermott-jury-deliberates-fate-mental-illness?_s=PM:LAW; http://www.nytimes.com/2000/12/27/us/7-die-in-rampage-at-company-co-worker-of-victims-arrested.html; http://www.vpc.org/studies/wgun001226.htm",http://articles.cnn.com/2002-04-22/justice/ctv.mcdermott.trial_1_michael-mcdermott-jury-deliberates-fate-mental-illness?_s=PM:LAW; http://www.boston.com/news/daily/24/mcdermott_verdict.htm,42.506484,-71.0728306,Mass
Hotel shooting,"Tampa, Florida",12/30/1999,1999,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",5,3,8,Workplace,Yes,"His brother called him ""unbalanced"" and mentally ill.",Yes,"One purchased from Big E's in Tampa, Fla.","One semiautomatic handgun, one revolver",9mm Lorcin semiautomatic handgun; .38-caliber Charter Arms revolver,Latino,Male,"http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en",http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml,27.9477595,-82.458444,Mass
Xerox killings,"Honolulu, Hawaii",11/2/1999,1999,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Workplace,Yes," A psychiatrist, testifying for the prosecution,said he suffered from schizophrenia.",Yes,"Hunting Supplies of Hawaii (The Armory) in Honolulu, Hawaii",One semiautomatic handgun,9mm Glock 17 semiautomatic handgun,Asian,Male,http://archives.starbulletin.com/2000/06/02/news/story2.html; http://www.vpc.org/studies/wgun991102.htm,http://archives.starbulletin.com/2000/06/02/news/story2.html,21.3255125,-157.8473055,Mass
Wedgwood Baptist Church shooting,"Fort Worth, Texas",9/15/1999,1999,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",8,7,15,Religious,Yes,His siblings decribed him as a paranoid schizophrenic. ,Yes,"Trader's Village flea market in Grand Prairie, Texas",Two semiautomatic handguns,".380-caliber, 9mm Ruger P85 semiautomatic handguns",white,Male,http://www.nytimes.com/1999/09/20/us/fort-worth-remembers-those-killed-at-church.html?pagewanted=all&src=pm; http://www.nytimes.com/1999/09/18/us/death-in-a-church-the-overview-with-question-of-why-unanswered-fort-worth-mourns.html; http://www.vpc.org/studies/wgun990915.htm,http://www.nytimes.com/1999/09/18/us/death-in-a-church-the-overview-with-question-of-why-unanswered-fort-worth-mourns.html,32.693397,-97.47067092,Mass
