country,count
Iran,343
Gaza,6000
Peru,860000
Mexico,53700
Uruguay,510000
United States,95100
Rwanda,110000
Haiti,15000
Afghanistan,5000
Mongolia,14500
Nepal,6000
Ethiopia,6000
Solomon Islands,300
Cambodia,1000
Colombia,22300
Brazil,2600
Lebanon,450
Thailand,500
India,1000
Mozambique,200
South Africa,500
Iraq,9150
Ghana,1000
Mali,300
Malaysia,100
Paraguay,4000
West Bank,4000
Nigeria,6100
Italy,600
Cameroon,1600
Nicaragua,25000
Australia,4400
Papua New Guinea,2350
Guatemala,3000
Argentina,60000
China,1000
Sri Lanka,1350
Pakistan,500
Kenya,500
Uganda,300
Federated States of Micronesia,800
Philippines,750
Costa Rica,1500
Nagorno-Karabakh,5000
