"","times","accel","strata","v"
"1",2.4,0,1,3.7
"2",2.6,-1.3,1,3.7
"3",3.2,-2.7,1,3.7
"4",3.6,0,1,3.7
"5",4,-2.7,1,3.7
"6",6.2,-2.7,1,3.7
"7",6.6,-2.7,1,3.7
"8",6.8,-1.3,1,3.7
"9",7.8,-2.7,1,3.7
"10",8.2,-2.7,1,3.7
"11",8.8,-1.3,1,3.7
"13",9.6,-2.7,1,3.7
"14",10,-2.7,1,3.7
"15",10.2,-5.4,1,3.7
"16",10.6,-2.7,1,3.7
"17",11,-5.4,1,3.7
"18",11.4,0,1,3.7
"19",13.2,-2.7,2,607
"20",13.6,-2.7,2,607
"21",13.8,0,2,607
"22",14.6,-13.3,2,607
"28",14.8,-2.7,2,607
"29",15.4,-22.8,2,607
"33",15.6,-40.2,2,607
"35",15.8,-21.5,2,607
"37",16,-42.9,2,607
"39",16.2,-21.5,2,607
"42",16.4,-5.4,2,607
"44",16.6,-59,2,607
"45",16.8,-71,2,607
"48",17.6,-37.5,2,607
"52",17.8,-99.1,2,607
"54",18.6,-112.5,2,607
"56",19.2,-123.1,2,607
"57",19.4,-85.6,2,607
"59",19.6,-127.2,2,607
"60",20.2,-123.1,2,607
"61",20.4,-117.9,2,607
"62",21.2,-134,2,607
"63",21.4,-101.9,2,607
"64",21.8,-108.4,2,607
"65",22,-123.1,2,607
"66",23.2,-123.1,2,607
"67",23.4,-128.5,2,607
"68",24,-112.5,2,607
"69",24.2,-95.1,2,607
"71",24.6,-53.5,2,607
"72",25,-64.4,2,607
"74",25.4,-72.3,2,607
"76",25.6,-26.8,2,607
"77",26,-5.4,2,607
"78",26.2,-107.1,2,607
"80",26.4,-65.6,2,607
"81",27,-16,2,607
"82",27.2,-45.6,2,607
"85",27.6,4,2,607
"86",28.2,12,2,607
"87",28.4,-21.5,2,607
"89",28.6,46.9,2,607
"90",29.4,-17.4,2,607
"91",30.2,36.2,2,607
"92",31,75,2,607
"93",31.2,8.1,2,607
"94",32,54.9,2,607
"96",32.8,46.9,2,607
"97",33.4,16,2,607
"98",33.8,45.6,2,607
"99",34.4,1.3,2,607
"100",34.8,75,2,607
"101",35.2,-16,2,607
"103",35.4,69.6,2,607
"104",35.6,34.8,2,607
"106",36.2,-37.5,2,607
"108",38,46.9,2,607
"110",39.2,5.4,2,607
"111",39.4,-1.3,2,607
"112",40,-21.5,2,607
"113",40.4,-13.3,2,607
"114",41.6,30.8,3,138
"116",42.4,29.4,3,138
"117",42.8,0,3,138
"119",43,14.7,3,138
"120",44,-1.3,3,138
"121",44.4,0,3,138
"122",45,10.7,3,138
"123",46.6,10.7,3,138
"124",47.8,-26.8,3,138
"126",48.8,-13.3,3,138
"127",50.6,0,3,138
"128",52,10.7,3,138
"129",53.2,-14.7,3,138
"130",55,-2.7,3,138
"132",55.4,-2.7,3,138
"133",57.6,10.7,3,138
