"","y"
"1",0.19
"2",0.28
"3",0.29
"4",0.45
"5",0.64
"6",0.65
"7",0.78
"8",0.85
"9",1
"10",1.16
"11",1.17
"12",1.29
"13",1.31
"14",1.34
"15",1.55
"16",1.6
"17",1.83
"18",1.91
"19",1.97
"20",2.05
"21",2.1
"22",2.17
"23",2.28
"24",2.41
"25",2.46
"26",2.51
"27",2.89
"28",2.89
"29",2.9
"30",2.92
"31",3.03
"32",3.19
"33",3.48
"34",3.79
"35",3.83
"36",3.94
"37",3.95
"38",4.11
"39",4.14
"40",4.19
"41",4.36
"42",4.53
"43",4.97
"44",5.02
"45",5.13
"46",5.75
"47",6.03
"48",6.19
"49",6.19
"50",6.45
"51",7.13
"52",7.35
"53",7.77
"54",7.8
"55",8.81
"56",9.22
"57",9.29
"58",9.78
"59",10.15
"60",11.32
"61",13.21
"62",13.27
"63",14.39
"64",16.26
