"","state","year","price","pop","pop16","cpi","ndi","sales","pimin"
"1",1,63,28.6,3383,2236.5,30.6,1558.3045298,93.9,26.1
"2",1,64,29.8,3431,2276.7,31,1684.0732025,95.4,27.5
"3",1,65,29.8,3486,2327.5,31.5,1809.8418752,98.5,28.9
"4",1,66,31.5,3524,2369.7,32.4,1915.1603572,96.4,29.5
"5",1,67,31.6,3533,2393.7,33.4,2023.5463678,95.5,29.6
"6",1,68,35.6,3522,2405.2,34.8,2202.4855362,88.4,32
"7",1,69,36.6,3531,2411.9,36.7,2377.3346665,90.1,32.8
"8",1,70,39.6,3444,2394.6,38.8,2591.0391591,89.8,34.3
"9",1,71,42.7,3481,2443.5,40.5,2785.3159706,95.4,35.8
"10",1,72,42.3,3511,2484.7,41.8,3034.8082969,101.1,37.4
"11",1,73,42.1,3540,2526,44.4,3387.5740861,102.9,37.3
"12",1,74,43.1,3574,2573.9,49.3,3718.8671751,108.2,41.4
"13",1,75,46.6,3614,2623.7,53.8,4087.9931169,111.7,43
"14",1,76,50.4,3657,2677.4,56.9,4486.7718352,116.2,46.4
"15",1,77,50.1,3690,2719.6,60.6,4899.8656869,117.1,48.8
"16",1,78,55.1,3728,2764.6,65.2,5450.9983257,123,53.6
"17",1,79,56.8,3769,2810.7,72.6,5957.1405451,121.4,56.5
"18",1,80,60.6,3894,2898.9,82.4,6466.350293,123.2,59.3
"19",1,81,68.8,3917,2924.7,90.9,7042.0231606,119.6,62.6
"20",1,82,73.1,3943,2953.5,96.5,7505.2199795,119.1,67.8
"21",1,83,84.4,3959,2977.5,99.6,7974.5518556,116.3,78.6
"22",1,84,90.8,3990,3009.1,103.9,8693.376058,113,86.8
"23",1,85,99,4020,3039.8,107.6,9059.4344712,114.5,90.7
"24",1,86,103,4050,3072.4,109.6,9674.9852107,116.3,98.8
"25",1,87,110,4083,3104,113.6,10213.847735,114,103.5
"26",1,88,114.4,4102,3124,118.3,10993,112.1,109.2
"27",1,89,122.3,4118,3140,124,11634,105.6,121.5
"28",1,90,139.1,4129.2,3148.6,130.7,12806,108.6,132.3
"29",1,91,144.4,4178.3,3185.1,136.2,13360,107.9,137.4
"30",1,92,172.2,4226.3,3226.7,140.3,14533,109.1,159.5
"31",3,63,23.9,1517,982.4,30.6,1944.7450576,125,24.9
"32",3,64,24,1549,1005.6,31,2063.5159984,121,25.5
"33",3,65,24.2,1575,1024.9,31.5,2162.6639143,123.2,25.3
"34",3,66,29.6,1609,1051.9,32.4,2318.6153235,113.9,25.5
