country,population
Aruba,105000
Bahamas,397000
Barbados,286000
British Virgin Islands,31000
Caribbean Netherlands,26000
Cayman Islands,62000
Cuba,NaN
Curaçao,160000
Dominica,73000
Dominican Republic,NaN
Grenada,108000
Guadeloupe,472000
Haiti,NaN
Jamaica,NaN
Martinique,396000
Montserrat,5000
Puerto Rico,NaN
Saint Kitts and Nevis,57000
Saint Lucia,188000
Saint Vincent and the Grenadines,110000
Sint Maarten (Dutch part),40000
Trinidad and Tobago,NaN
Turks and Caicos Islands,35000
United States Virgin Islands,107000
Central America,NaN
Belize,375000
Costa Rica,NaN
El Salvador,NaN
Guatemala,NaN
Honduras,NaN
Mexico,NaN
Nicaragua,NaN
Panama,NaN
South America,NaN
Argentina,NaN
Bolivia (Plurinational State of),NaN
Brazil,NaN
Chile,NaN
Colombia,NaN
Ecuador,NaN
Falkland Islands (Malvinas),3000
French Guiana,283000
Guyana,774000
Paraguay,NaN
Peru,NaN
Suriname,552000
Uruguay,NaN
Venezuela (Bolivarian Republic of),NaN
NORTHERN AMERICA,NaN
Bermuda,61000
Canada,NaN
Greenland,56000
Saint Pierre and Miquelon,6000
United States of America,NaN
OCEANIA,NaN
Australia/New Zealand,NaN
Australia,NaN
New Zealand,NaN
Melanesia,NaN
Fiji,903000
New Caledonia,270000
Papua New Guinea,NaN
Solomon Islands,606000
Vanuatu,276000
Micronesia,537000
Guam,174000
Kiribati,116000
Marshall Islands,53000
Micronesia (Fed. States of),106000
Nauru,10000
Northern Mariana Islands,56000
Palau,22000
Polynesia,695000
American Samoa,56000
Cook Islands,21000
French Polynesia,289000
Niue,2000
Samoa,196000
Tokelau,1000
Tonga,108000
Tuvalu,10000
Wallis and Futuna Islands,13000
