"","Ca","pH"
"1",340,7
"2",224,7
"3",279,7
"4",261,7
"5",449,7
"6",267,7
"7",302,7
"8",269,7
"9",303,7
"10",403,7
"11",278,7
"12",255,7
"13",296,7
"14",301,7
"15",483,7
"16",393,7
"17",618,7
"18",307,7
"19",297,7
"20",293,7
"21",248,7
"22",259,7
"23",337,7
"24",251,7
"25",259,7
"26",246,7
"27",245,7
"28",247,7
"29",291,7
"30",289,7
"31",281,7
"32",385,7
"33",271,7
"34",300,7
"35",315,7
"36",317,7
"37",348,7
"38",405,7
"39",522,7
"40",324,7
"41",365,7
"42",216,7
"43",290,7
"44",259,7
"45",259,7
"46",318,7
"47",255,7
"48",207,7
"49",204,7
"50",345,7
"51",261,7
"52",376,7
"53",335,7
"54",267,7
"55",275,7
"56",250,7
"57",261,7
"58",311,7
"59",318,7
"60",491,7
"61",339,7
"62",528,7
"63",248,7
"64",398,7
"65",435,7
"66",352,7
"67",382,7
"68",361,7
"69",308,7
"70",246,7
"71",270,7
"72",502,7
"73",454,7
"74",414,7
"75",398,7
"76",386,7
"77",263,7
"78",281,7
"79",283,7
"80",316,7
"81",325,7
"82",290,7
"83",311,7
"84",331,7
"85",290,7
"86",297,7
"87",289,7
"88",276,7
"89",287,7
"90",314,7
"91",500,7
"92",381,7
"93",346,7
"94",357,7
"95",531,7
"96",225,7
"97",275,7
"98",334,7
"99",439,7
"100",349,7
"101",780,7
"102",394,7
"103",365,7
"104",322,7
"105",374,7
"106",346,7
"107",432,7
"108",523,7
"109",385,7
"110",666,7
"111",525,7
"112",429,7
"113",449,7
"114",536,7
"115",515,7
"116",274,7
"117",383,7
"118",280,7
"119",268,7
"120",274,7
"121",252,7
"122",268,7
"123",262,7
"124",298,7
"125",238,7
"126",259,7
"127",256,7
"128",637,7
"129",366.6,7
"130",397.8,7
"131",399.3,7
"132",417.6,7
"133",396.2,7
"134",394.2,7
"135",352.8,7
"136",365.1,7
"137",375.8,7
"138",379.6,7
"139",366.1,7
"140",486.8,7
"141",500.9,7
"142",343.6,7
"143",462.1,7
"144",335.7,7
"145",284.1,7
"146",287.9,7
"147",303.7,7
"148",244.4,7
"149",345.6,7
"150",389.6,7
"151",286.2,7
"152",290.1,7
"153",344.6,7
"154",344.6,7
"155",333.3,7
"156",347.6,7
"157",366.3,7
"158",322.5,7
"159",374.3,7
"160",495.3,7
"161",312.6,7
"162",318.9,7
"163",341.1,7
"164",365.3,7
"165",344,7
"166",285.6,7
"167",271.7,7
"168",287.9,7
"169",349.7,7
"170",285.6,7
"171",302,7
"172",291.2,7
"173",349.2,7
"174",257.1,7
"175",327.9,7
"176",312.1,7
"177",270,7
"178",753.3,7
"179",687.3,7
"180",988.4,7
"181",118.4,7
"182",290.1,7
"183",324.6,7
"184",300.1,7
"185",276.6,7
"186",302,7
"187",299.4,7
"188",298.8,7
"189",371.1,7
"190",278.2,7
"191",293.8,7
"192",272.6,7
"193",329.4,7
"194",369.9,7
"195",319.3,7
"196",334.9,7
"197",454.6,7
"198",721.3,7
"199",290.1,7
"200",379.9,7
"201",356.5,7
"202",312.5,7
"203",263,7
"204",340.4,7
"205",427.9,7
"206",330,7.1
"207",518,7.1
"208",364,7.1
"209",379,7.1
"210",366,7.1
"211",318,7.1
"212",326,7.1
"213",407,7.1
"214",314,7.1
"215",324,7.1
"216",327,7.1
"217",436,7.1
"218",391,7.1
"219",206,7.1
"220",277,7.1
"221",667,7.1
"222",492,7.1
"223",371,7.1
"224",282,7.1
"225",416,7.1
"226",368,7.1
"227",346,7.1
"228",493,7.1
"229",486,7.1
"230",216,7.1
"231",266,7.1
"232",229,7.1
"233",282,7.1
"234",369,7.1
"235",403,7.1
"236",423,7.1
"237",465,7.1
"238",365,7.1
"239",539,7.1
"240",427,7.1
"241",327,7.1
"242",412,7.1
"243",282,7.1
"244",317,7.1
"245",228,7.1
"246",229,7.1
"247",241,7.1
"248",244,7.1
"249",342,7.1
"250",353,7.1
"251",340,7.1
"252",275,7.1
"253",726,7.1
"254",473,7.1
"255",496,7.1
"256",462,7.1
"257",498,7.1
"258",551,7.1
"259",483,7.1
"260",457,7.1
"261",407,7.1
"262",405,7.1
"263",425,7.1
"264",437,7.1
"265",480,7.1
"266",487,7.1
"267",494,7.1
"268",503,7.1
"269",351,7.1
"270",493,7.1
"271",393.4,7.1
"272",444.6,7.1
"273",443.8,7.1
"274",430,7.1
"275",580.1,7.1
"276",546.2,7.1
"277",320,7.1
"278",302.8,7.1
"279",310.4,7.1
"280",431.6,7.1
"281",581.4,7.1
"282",350.6,7.1
"283",365.9,7.1
"284",339.2,7.1
"285",397.2,7.1
"286",407.7,7.1
"287",321.9,7.1
"288",368.6,7.1
"289",349.1,7.1
"290",292.8,7.1
"291",500.8,7.1
