pincode,lat,lon,place
400051,-0.16482294,0.33354902,"Nirmalnagar Road, Mumbai"
400051,-0.16482294,0.33354902,"P W D Quarters Colony, Mumbai"
400051,-0.16482294,0.33354902,"Patrakar Nagar, Mumbai"
400051,-0.16482294,0.33354902,"Pipe Line, Mumbai"
400051,-0.16482294,0.33354902,"Ram Mandir Road, Mumbai"
400051,-0.16482294,0.33354902,"Sahakar Marg, Mumbai"
400051,-0.16482294,0.33354902,"Saibaba Road, Mumbai"
400051,-0.16482294,0.33354902,"Saibaba Tekadi, Mumbai"
400051,-0.16482294,0.33354902,"Shantaram Bhat Chawls, Mumbai"
400051,-0.16482294,0.33354902,"Shantilal Compound, Mumbai"
400051,-0.16482294,0.33354902,"Sidharth Colony Pandra E, Mumbai"
400051,-0.16482294,0.33354902,"Sidharth Nagar, Mumbai"
400051,-0.16482294,0.33354902,"St Francis Avenue, Mumbai"
400051,-0.16482294,0.33354902,"Subhash Nagar, Mumbai"
400051,-0.16482294,0.33354902,"Subhash Road, Mumbai"
400051,-0.16482294,0.33354902,"Teachers Colony, Mumbai"
400051,-0.16482294,0.33354902,"Three Bunglows, Mumbai"
400051,-0.16482294,0.33354902,"Tin Bunglow, Mumbai"
400052,-0.16515426,0.33379412,"Agripada Khar, Mumbai"
400052,-0.16515426,0.33379412,"Amar Gull Pathan Chowk, Mumbai"
400052,-0.16515426,0.33379412,"Ambedkar Housing Colony, Mumbai"
400052,-0.16515426,0.33379412,"Ambedkar Road, Mumbai"
400052,-0.16515426,0.33379412,"Amrut Co-Op. Housing Soc, Mumbai"
400052,-0.16515426,0.33379412,"Carter Road, Mumbai"
400052,-0.16515426,0.33379412,"Chak Sahebachi Wadi, Mumbai"
400052,-0.16515426,0.33379412,"Chavri Galli, Mumbai"
400052,-0.16515426,0.33379412,"Chinch Wadi, Mumbai"
400052,-0.16515426,0.33379412,"Chitrakar Dhurandhar Marg, Mumbai"
400052,-0.16515426,0.33379412,"Chuim Village, Mumbai"
400052,-0.16515426,0.33379412,"Dabul, Mumbai"
400052,-0.16515426,0.33379412,"Danda Koliwada, Mumbai"
400052,-0.16515426,0.33379412,"Danda Kotpada, Mumbai"
400052,-0.16515426,0.33379412,"Danda Madhlapada, Mumbai"
400052,-0.16515426,0.33379412,"Danda Road, Mumbai"
400052,-0.16515426,0.33379412,"Danda Varinapda, Mumbai"
400052,-0.16515426,0.33379412,"Danda Village, Mumbai"
400052,-0.16515426,0.33379412,"Dandapada Village, Mumbai"
400052,-0.16515426,0.33379412,"Datta Apte Bldg 1 To 4, Mumbai"
400052,-0.16515426,0.33379412,"Dr Babasaheb Ambedkar Road, Mumbai"
400052,-0.16515426,0.33379412,"Forman Nagar, Mumbai"
400052,-0.16515426,0.33379412,"Garden Homes, Mumbai"
400052,-0.16515426,0.33379412,"Govindji Patel Road, Mumbai"
400052,-0.16515426,0.33379412,"Govt Hsg Colony, Mumbai"
400052,-0.16515426,0.33379412,"Gujrat Hsg Society, Mumbai"
400052,-0.16515426,0.33379412,"Gujrat Research Society, Mumbai"
400052,-0.16515426,0.33379412,"Gujrathi Harijan Hsg Soc, Mumbai"
400052,-0.16515426,0.33379412,"Gulab Nagar, Mumbai"
400052,-0.16515426,0.33379412,"Hanuman Nagar, Mumbai"
400052,-0.16515426,0.33379412,"Khar, Mumbai"
400052,-0.16515426,0.33379412,"Khar Colony, Mumbai"
400052,-0.16515426,0.33379412,"Khar Danda, Mumbai"
400052,-0.16515426,0.33379412,"Khar Gaothan, Mumbai"
400052,-0.16515426,0.33379412,"Khar Market, Mumbai"
400052,-0.16515426,0.33379412,"Khar Pali Road, Mumbai"
400052,-0.16515426,0.33379412,"Khar Road 1 To 22, Mumbai"
400052,-0.16515426,0.33379412,"Madhla Pada, Mumbai"
400052,-0.16515426,0.33379412,"Madhu Park, Mumbai"
400052,-0.16515426,0.33379412,"Mahadeo Bawa Dandekar M, Mumbai"
400052,-0.16515426,0.33379412,"Mari Aai Temple Road, Mumbai"
400052,-0.16515426,0.33379412,"Maru Aaidevi Mr Dandapada, Mumbai"
400052,-0.16515426,0.33379412,"Monkey Road, Mumbai"
400052,-0.16515426,0.33379412,"Municipal Colony, Mumbai"
400052,-0.16515426,0.33379412,"New Pali, Mumbai"
400052,-0.16515426,0.33379412,"New Sherlay, Mumbai"
400052,-0.16515426,0.33379412,"Old Khar, Mumbai"
400052,-0.16515426,0.33379412,"Pali Bandra Road Khar, Mumbai"
400052,-0.16515426,0.33379412,"Pali Hill Road, Mumbai"
400052,-0.16515426,0.33379412,"Parmanand Co Opp Hou Soci, Mumbai"
400052,-0.16515426,0.33379412,"Parmanand D H Rd, Mumbai"
400052,-0.16515426,0.33379412,"Patel Pada, Mumbai"
400052,-0.16515426,0.33379412,"Pathare Prabhu S Hou Soci, Mumbai"
400052,-0.16515426,0.33379412,"Pitale Road, Mumbai"
400052,-0.16515426,0.33379412,"Ram Drishna Mission Marg, Mumbai"
400052,-0.16515426,0.33379412,"Ram Krishna Mission Ashra, Mumbai"
400052,-0.16515426,0.33379412,"Ram Mandir Road Khar, Mumbai"
400052,-0.16515426,0.33379412,"Road No 1To 35 Khar, Mumbai"
400052,-0.16515426,0.33379412,"Shri Nirmaladas Gurbaxani, Mumbai"
400052,-0.16515426,0.33379412,"Sindhi Housing Society, Mumbai"
400052,-0.16515426,0.33379412,"Smt Maherbanu Jhabuwall, Mumbai"
400052,-0.16515426,0.33379412,"Swamivivekanda Rd, Mumbai"
400052,-0.16515426,0.33379412,"T.P.S. Road No 1 6To9 13, Mumbai"
