,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,South Africa,,Aggregate HPI,,
1982:Q4,17.28,27.33,39.07,67.82,86.28,24.35,9.55,28.09,28.32,14.76,12.35,24.09,100.88,45.01,17.40,22.82,24.32,17.14,26.32,32.55,8.94,,42.44,,
1983:Q1,17.57,27.07,39.23,67.15,86.25,26.17,9.71,29.83,28.73,15.37,12.31,23.62,102.15,50.06,17.39,22.90,25.10,17.37,26.13,33.00,9.46,,43.03,,
1983:Q2,18.09,26.95,39.11,68.47,86.04,29.35,9.89,31.03,29.07,15.77,12.76,24.02,103.25,52.01,17.49,23.48,25.41,17.63,26.19,33.25,10.04,,43.46,,
1983:Q3,18.31,26.64,39.50,70.45,85.78,30.18,10.08,32.49,29.37,16.20,13.55,24.42,104.17,53.41,17.62,23.56,25.49,18.09,26.30,33.56,10.54,,43.86,,
1983:Q4,18.86,26.65,39.91,71.57,85.37,31.07,10.30,33.97,29.66,16.51,14.02,24.72,105.07,54.24,17.83,23.29,25.47,18.73,26.52,33.93,11.14,,44.23,,
1984:Q1,19.56,26.98,39.45,71.74,84.67,32.45,10.55,34.57,29.96,16.84,14.08,25.18,105.98,53.69,18.13,23.25,26.57,19.36,26.93,34.30,11.40,,44.52,,
1984:Q2,20.03,27.23,39.48,73.69,84.09,33.06,10.79,35.28,30.23,17.22,13.76,25.55,106.76,54.00,18.39,22.97,27.98,19.96,27.19,34.66,11.38,,44.84,,
1984:Q3,21.20,27.19,39.14,73.83,83.56,33.80,11.05,36.17,30.48,17.66,13.57,25.90,107.53,54.19,18.64,23.14,29.74,20.55,27.43,35.05,11.23,,45.17,,
1984:Q4,20.99,27.25,38.13,74.03,83.05,35.43,11.34,36.29,30.72,18.07,13.49,26.17,108.20,54.14,18.92,23.23,31.48,21.16,27.74,35.50,10.92,,45.44,,
1985:Q1,22.03,27.23,38.10,76.21,82.32,36.34,11.57,36.69,30.93,18.30,13.72,26.31,109.01,54.34,18.98,23.08,32.39,21.86,27.88,35.85,10.59,,45.72,,
1985:Q2,22.18,27.36,38.50,76.01,81.87,38.06,11.91,37.94,31.19,18.82,13.82,26.71,109.54,54.15,19.34,23.23,33.26,22.69,28.18,36.33,10.40,,46.06,,
1985:Q3,22.75,27.89,38.76,77.13,81.60,41.06,12.34,38.24,31.48,18.99,13.98,27.11,110.08,53.96,19.74,22.99,35.42,23.59,28.47,36.95,10.24,,46.49,,
1985:Q4,23.24,28.13,40.09,78.26,81.50,42.19,12.84,38.78,31.81,19.74,14.01,27.43,110.58,53.62,20.25,23.45,38.65,24.37,28.94,37.50,10.22,,46.97,,
1986:Q1,23.50,28.22,40.76,80.76,82.01,44.08,13.40,39.89,32.14,20.44,14.06,27.77,111.38,52.45,21.01,23.90,42.21,24.80,28.94,38.11,10.10,,47.52,,
1986:Q2,24.39,28.54,41.19,80.14,81.90,44.40,13.96,39.84,32.54,21.23,14.57,28.27,111.93,51.72,21.55,23.97,45.11,25.16,29.49,38.83,9.92,,48.03,,
