,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,South Africa,,Aggregate HPI,,
2009:Q1,121.34,126.87,132.53,110.61,99.88,107.28,110.09,109.92,113.29,106.33,91.68,112.21,92.30,119.98,108.83,111.23,124.53,111.87,125.54,101.41,134.24,,105.72,,
2009:Q2,126.00,125.08,133.02,111.97,99.90,105.69,107.75,111.05,110.79,105.39,84.71,111.11,91.36,119.67,110.03,108.68,127.93,114.27,128.47,99.31,132.76,,104.47,,
2009:Q3,132.25,126.38,136.80,113.12,100.03,106.54,106.46,112.49,111.07,107.93,77.77,110.38,90.44,120.78,110.58,106.97,132.22,116.83,130.77,96.75,137.85,,103.83,,
2009:Q4,138.84,128.80,140.77,115.45,100.19,107.77,105.64,117.56,112.33,110.94,75.28,109.65,89.53,122.18,111.69,106.59,135.44,118.96,135.26,95.50,143.00,,103.97,,
2010:Q1,144.03,131.12,144.72,116.00,100.35,108.90,104.92,120.32,114.66,114.50,76.26,108.96,88.58,123.12,113.45,106.09,137.44,119.20,138.85,94.73,148.02,,104.31,,
2010:Q2,146.17,133.04,144.41,117.12,100.69,109.42,104.35,120.54,116.59,116.07,82.38,108.59,87.77,123.38,114.34,106.31,139.77,118.18,139.84,94.46,149.14,,104.45,,
2010:Q3,145.35,133.86,144.31,118.87,101.20,109.83,102.88,124.34,118.31,115.98,85.59,108.39,87.07,123.38,116.09,106.23,140.86,117.30,139.63,95.06,145.16,,104.67,,
2010:Q4,145.38,135.67,146.23,120.25,101.81,110.92,102.18,123.73,120.81,115.21,84.11,108.06,86.35,124.19,117.75,105.51,144.07,117.01,142.50,93.84,145.11,,104.36,,
2011:Q1,144.11,136.60,149.51,121.05,102.95,109.61,99.41,125.37,122.70,114.58,84.62,107.72,85.64,126.56,118.43,104.65,147.69,117.48,143.38,91.79,147.56,,103.74,,
2011:Q2,142.26,138.09,152.15,122.60,103.66,108.46,97.97,127.39,124.77,113.93,80.86,107.18,84.96,129.24,119.24,104.34,148.92,118.68,142.16,90.85,150.37,,103.53,,
2011:Q3,140.48,139.54,154.12,123.31,104.42,105.29,96.72,124.90,125.63,114.18,77.48,106.27,84.27,131.36,120.39,103.43,151.60,120.16,141.02,91.09,151.76,,103.67,,
2011:Q4,139.07,139.82,155.73,124.71,105.14,103.46,94.94,124.86,125.25,114.68,76.25,105.34,83.65,132.96,120.40,101.97,154.26,120.41,138.37,91.07,149.44,,103.56,,
2012:Q1,139.17,140.53,157.11,126.63,105.92,103.58,92.26,125.99,124.98,115.07,76.47,104.23,83.09,133.87,117.21,100.93,155.64,121.65,138.25,90.68,145.42,,103.30,,
2012:Q2,139.62,140.78,,126.39,106.60,102.23,89.78,125.53,124.42,116.20,73.89,103.18,82.54,133.91,118.52,99.09,157.56,123.39,137.76,90.69,147.40,,101.11,,2012:Q2 total is re-weighted to exclude Canada
