"Country","Christian","Muslim","Unaffiliated","Hindu","Buddhist","Folk Religions","Other Religions","Jewish"
"Afghanistan","30000","31330000","< 10000","10000","< 10000","< 10000","20000","< 10000"
"Albania","580000","2570000","50000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Algeria","60000","34730000","660000","< 10000","< 10000","10000","< 10000","< 10000"
"American Samoa","70000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Andorra","80000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Angola","17270000","40000","980000","< 10000","< 10000","790000","< 10000","< 10000"
"Anguilla","10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Antigua and Barbuda","80000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Argentina","34420000","400000","4920000","< 10000","20000","330000","120000","200000"
"Armenia","3050000","< 10000","40000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Aruba","100000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Australia","14980000","540000","5390000","310000","600000","150000","180000","110000"
"Austria","6750000","450000","1130000","< 10000","20000","< 10000","10000","10000"
"Azerbaijan","280000","8900000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Bahamas","330000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Bahrain","180000","890000","20000","120000","30000","< 10000","< 10000","< 10000"
"Bangladesh","280000","133540000","80000","13520000","720000","520000","30000","< 10000"
"Barbados","260000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Belarus","6830000","20000","2740000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Belgium","6880000","630000","3110000","< 10000","30000","20000","10000","30000"
"Belize","270000","< 10000","30000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Benin","4690000","2110000","450000","< 10000","< 10000","1600000","< 10000","< 10000"
"Bermuda","50000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Bhutan","< 10000","< 10000","< 10000","160000","540000","10000","< 10000","< 10000"
"Bolivia","9330000","< 10000","400000","< 10000","< 10000","90000","100000","< 10000"
"Bosnia-Herzegovina","1970000","1700000","90000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Botswana","1450000","< 10000","410000","< 10000","< 10000","120000","10000","< 10000"
"Brazil","173300000","40000","15410000","< 10000","250000","5540000","300000","110000"
"British Virgin Islands","20000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Brunei","40000","300000","< 10000","< 10000","30000","20000","< 10000","< 10000"
"Bulgaria","6150000","1020000","310000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Burkina Faso","3710000","10150000","70000","< 10000","< 10000","2530000","< 10000","< 10000"
"Burma (Myanmar)","3750000","1900000","240000","820000","38410000","2760000","80000","< 10000"
"Burundi","7670000","230000","< 10000","< 10000","< 10000","480000","< 10000","< 10000"
"Cambodia","50000","280000","30000","< 10000","13690000","80000","< 10000","< 10000"
"Cameroon","13780000","3590000","1050000","< 10000","< 10000","650000","530000","< 10000"
"Canada","23470000","710000","8050000","470000","280000","390000","300000","350000"
"Cape Verde","440000","< 10000","50000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Cayman Islands","50000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Central African Republic","3940000","370000","40000","< 10000","< 10000","40000","< 10000","< 10000"
"Chad","4560000","6210000","280000","< 10000","< 10000","160000","20000","< 10000"
"Channel Islands","130000","< 10000","20000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Chile","15300000","< 10000","1470000","< 10000","10000","260000","30000","20000"
"China","68410000","24690000","700680000","20000","244130000","294320000","9080000","< 10000"
"Colombia","42810000","10000","3050000","< 10000","< 10000","370000","40000","< 10000"
"Comoros","< 10000","720000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Cook Islands","20000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Costa Rica","4230000","< 10000","370000","< 10000","< 10000","40000","10000","< 10000"
"Croatia","4110000","60000","230000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Cuba","6670000","< 10000","2590000","20000","< 10000","1960000","< 10000","< 10000"
"Cyprus","810000","280000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Czech Republic","2450000","< 10000","8020000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Democratic Republic of the Congo","63210000","970000","1170000","30000","< 10000","490000","100000","< 10000"
"Denmark","4630000","230000","650000","20000","10000","< 10000","< 10000","< 10000"
"Djibouti","20000","860000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Dominica","60000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Dominican Republic","8740000","< 10000","1080000","< 10000","< 10000","90000","10000","< 10000"
"Ecuador","13610000","< 10000","800000","< 10000","< 10000","40000","< 10000","< 10000"
"Egypt","4120000","76990000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"El Salvador","5460000","< 10000","680000","< 10000","< 10000","30000","20000","< 10000"
"Equatorial Guinea","620000","30000","30000","< 10000","< 10000","10000","< 10000","< 10000"
"Eritrea","3310000","1920000","< 10000","< 10000","< 10000","20000","< 10000","< 10000"
"Estonia","540000","< 10000","800000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Ethiopia","52070000","28680000","50000","< 10000","< 10000","2130000","< 10000","< 10000"
"Faeroe Islands","50000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Falkland Islands (Malvinas)","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Federated States of Micronesia","110000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Fiji","550000","50000","< 10000","240000","< 10000","< 10000","< 10000","< 10000"
"Finland","4380000","40000","940000","< 10000","< 10000","< 10000","< 10000","< 10000"
"France","39560000","4710000","17580000","30000","280000","220000","100000","310000"
"French Guiana","200000","< 10000","< 10000","< 10000","< 10000","20000","< 10000","< 10000"
"French Polynesia","250000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Gabon","1150000","170000","80000","< 10000","< 10000","90000","< 10000","< 10000"
"Gambia","80000","1640000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Georgia","3850000","470000","30000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Germany","56540000","4760000","20350000","80000","210000","40000","100000","230000"
"Ghana","18260000","3860000","1020000","< 10000","< 10000","1200000","40000","< 10000"
"Gibraltar","30000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Greece","10010000","610000","700000","20000","< 10000","10000","< 10000","< 10000"
"Greenland","60000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Grenada","100000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Guadeloupe","440000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Guam","170000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Guatemala","13690000","< 10000","590000","< 10000","< 10000","80000","10000","< 10000"
"Guinea","1090000","8430000","180000","< 10000","< 10000","270000","< 10000","< 10000"
"Guinea Bissau","300000","680000","70000","< 10000","< 10000","470000","< 10000","< 10000"
"Guyana","500000","50000","10000","190000","< 10000","< 10000","< 10000","< 10000"
"Haiti","8690000","< 10000","1060000","< 10000","< 10000","220000","30000","< 10000"
"Honduras","6660000","10000","790000","< 10000","< 10000","80000","40000","< 10000"
"Hong Kong","1010000","130000","3950000","30000","930000","900000","110000","< 10000"
"Hungary","8090000","< 10000","1860000","< 10000","< 10000","< 10000","< 10000","10000"
"Iceland","300000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"India","31130000","176190000","870000","973750000","9250000","5840000","27560000","10000"
"Indonesia","23660000","209120000","240000","4050000","1720000","750000","340000","< 10000"
"Iran","110000","73570000","110000","20000","< 10000","< 10000","150000","< 10000"
"Iraq","270000","31340000","40000","< 10000","< 10000","< 10000","20000","< 10000"
"Ireland","4110000","50000","280000","10000","< 10000","< 10000","< 10000","< 10000"
"Isle of Man","70000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Israel","150000","1380000","230000","< 10000","20000","20000","< 10000","5610000"
"Italy","50440000","2220000","7500000","90000","110000","80000","60000","50000"
"Ivory Coast","8710000","7390000","1570000","< 10000","< 10000","2020000","30000","< 10000"
"Jamaica","2120000","< 10000","470000","< 10000","< 10000","120000","30000","< 10000"
"Japan","2030000","200000","72120000","30000","45820000","450000","5890000","< 10000"
"Jordan","130000","6010000","< 10000","< 10000","20000","< 10000","< 10000","< 10000"
"Kazakhstan","3970000","11290000","670000","< 10000","40000","50000","20000","< 10000"
"Kenya","34340000","3920000","1000000","60000","< 10000","690000","500000","< 10000"
"Kiribati","100000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Kosovo","240000","1810000","30000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Kuwait","390000","2030000","< 10000","230000","80000","< 10000","< 10000","< 10000"
"Kyrgyzstan","610000","4690000","20000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Laos","90000","< 10000","50000","< 10000","4100000","1910000","50000","< 10000"
"Latvia","1260000","< 10000","990000","< 10000","< 10000","< 10000","< 10000","< 10000"
