"Financial Year","Gross Domestic Product (in Rs. Cr) at 2004-05 Prices","Agriculture & Allied Services (in Rs. Cr.) at 2004-05 Prices","Agriculture (in Rs. Cr.) at 2004-05 Prices","Industry (in Rs. Cr.) at 2004-05 Prices","Mining and Quarrying (in Rs. Cr.) at 2004-05 Prices","Manufacturing (in Rs. Cr.) at 2004-05 Prices","Services (in Rs. Cr.) at 2004-05 Prices","Agri-culture & Allied Services -Share to Total GDP","Agriculture - Share to Total GDP","Industry - Share to Total GDP","Mining and Quarrying - Share to Total GDP","Manufacturing - Share to Total GDP","Services - Share to Total GDP","Gross Domestic Product - % Growth Rate (YoY)","Agri-culture & Allied Services - % Growth Rate (YoY)","Agriculture - % Growth Rate (YoY)","Industry - % Growth Rate (YoY)","Mining and Quarrying - % Growth Rate (YoY)","Manufacturing - % Growth Rate (YoY)","Services - % Growth Rate (YoY)"
"1951-52","286147","147216","118877","47768","5772","25889","84799","5145","4154","1669","202","905","2963","233","149","164","550","1233","316","267"
"1952-53","294267","151859","123822","47739","5905","26789","87438","5161","4208","1622","201","910","2971","284","315","416","-006","231","348","311"
"1953-54","312177","163553","134958","50409","5993","28863","89940","5239","4323","1615","192","925","2881","609","770","899","559","150","774","286"
"1954-55","325431","168361","138731","54574","6250","30885","94172","5173","4263","1677","192","949","2894","425","294","280","826","428","701","471"
"1955-56","333766","166906","136679","60311","6348","33304","98845","5001","4095","1807","190","998","2962","256","-086","-148","1051","158","783","496"
"1956-57","352766","175980","144859","65480","6671","35804","103391","4989","4106","1856","189","1015","2931","569","544","599","857","509","751","460"
"1957-58","348500","168075","137497","64842","7105","37184","107275","4823","3945","1861","204","1067","3078","-121","-449","-508","-097","650","385","376"
"1958-59","374948","185010","152961","69335","7327","39026","111690","4934","4080","1849","195","1041","2979","759","1008","1125","693","312","495","412"
"1959-60","383153","183147","150730","74081","7704","41676","117232","4780","3934","1933","201","1088","3060","219","-101","-146","685","515","679","496"
"1960-61","410279","195482","161708","82413","8857","45134","123872","4765","3941","2009","216","1100","3019","708","674","728","1125","1497","830","566"
"1961-62","423011","195647","161187","88006","9367","48988","130511","4625","3810","2080","221","1158","3085","310","008","-032","679","576","854","536"
"1962-63","431960","191755","157727","93996","10479","52554","137883","4439","3651","2176","243","1217","3192","212","-199","-215","681","1187","728","565"
"1963-64","453829","196241","160682","103221","10789","57525","146069","4324","3541","2274","238","1268","3219","506","234","187","981","296","946","594"
"1964-65","488247","214343","177284","110195","10945","61503","154472","4390","3631","2257","224","1260","3164","758","922","1033","676","144","691","575"
"1965-66","470402","190675","153404","114706","12231","62074","158795","4053","3261","2438","260","1320","3376","-365","-1104","-1347","409","1175","093","280"
"1966-67","475190","187962","149894","118823","12519","62563","163712","3956","3154","2501","263","1317","3445","102","-142","-229","359","236","079","310"
"1967-68","513860","215914","175484","122755","12899","62804","169942","4202","3415","2389","251","1222","3307","814","1487","1707","331","303","039","381"
"1968-69","527270","215572","174879","128685","13264","66283","177732","4088","3317","2441","252","1257","3371","261","-016","-035","483","283","554","458"
"1969-70","561630","229428","187556","138291","13919","73394","186910","4085","3339","2462","248","1307","3328","652","643","725","746","494","1073","516"
"1970-71","589787","245699","201455","139321","12965","75118","196158","4166","3416","2362","220","1274","3326","501","709","741","074","-685","235","495"
"1971-72","595741","241087","196089","142814","13308","77573","203374","4047","3292","2397","223","1302","3414","101","-188","-266","251","264","327","368"
"1972-73","593843","228988","185055","148011","14094","80614","209353","3856","3116","2492","237","1357","3525","-032","-502","-563","364","591","392","294"
"1973-74","620872","245479","200648","148920","14271","84201","216163","3954","3232","2399","230","1356","3482","455","720","843","061","126","445","325"
"1974-75","628079","241740","195119","151024","14979","86655","225076","3849","3107","2405","238","1380","3584","116","-152","-276","141","496","292","412"
"1975-76","684634","272899","222817","161723","16795","88482","240036","3986","3255","2362","245","1292","3506","900","1289","1420","708","1213","211","665"
"1976-77","693191","257131","209266","175745","17391","96242","251164","3709","3019","2535","251","1388","3623","125","-578","-608","867","355","877","464"
"1977-78","744972","282937","235455","188059","17936","102232","263566","3798","3161","2524","241","1372","3538","747","1004","1251","701","313","622","494"
"1978-79","785965","289452","240148","201012","18423","114859","281161","3683","3055","2558","234","1461","3577","550","230","199","689","271","1235","668"
"1979-80","745083","252475","208060","194656","18621","111159","287349","3389","2792","2613","250","1492","3857","-520","-1277","-1336","-316","108","-322","220"
"1980-81","798506","285015","238102","204861","20891","111376","300614","3569","2982","2566","262","1395","3765","717","1289","1444","524","1219","019","462"
"1981-82","843426","298130","249645","221264","23745","120475","316225","3535","2960","2623","282","1428","3749","563","460","485","801","1366","817","519"
"1982-83","868092","297293","249296","224402","26569","124436","338781","3425","2872","2585","306","1433","3903","292","-028","-014","142","1189","329","713"
"1983-84","936270","327382","276104","242075","27338","137168","358157","3497","2949","2586","292","1465","3825","785","1012","1075","788","289","1023","572"
"1984-85","973357","332571","280200","251942","27658","142940","380009","3417","2879","2588","284","1469","3904","396","159","148","408","117","421","610"
"1985-86","1013866","333616","280747","262985","29167","147496","409162","3291","2769","2594","288","1455","4036","416","031","020","438","546","319","767"
"1986-87","1057612","332250","279649","278124","32739","155600","440226","3142","2644","2630","310","1471","4162","431","-041","-039","576","1225","549","759"
"1987-88","1094993","326975","274820","293615","33974","164314","468201","2986","2510","2681","310","1501","4276","353","-159","-173","557","377","560","635"
"1988-89","1206243","378113","321114","320331","39468","178275","500724","3135","2662","2656","327","1478","4151","1016","1564","1685","910","1617","850","695"
"1989-90","1280228","382609","322384","346926","42466","194033","545183","2989","2518","2710","332","1516","4258","613","119","040","830","759","884","888"
"1990-91","1347889","397971","336176","372360","46909","203295","573465","2953","2494","2763","348","1508","4255","529","402","428","733","1046","477","519"
"1991-92","1367171","390201","328407","373634","48484","198419","600366","2854","2402","2733","355","1451","4391","143","-195","-231","034","336","-240","469"
"1992-93","1440504","416153","351584","385647","48931","204551","634549","2889","2441","2677","340","1420","4405","536","665","706","322","092","309","569"
"1993-94","1522344","429981","362764","406848","49611","222124","681351","2824","2383","2673","326","1459","4476","568","332","318","550","139","859","738"
"1994-95","1619694","450258","379959","444122","54219","246161","721140","2780","2346","2742","335","1520","4452","639","472","474","916","929","1082","584"
"1995-96","1737741","447127","376243","494262","57400","284221","794041","2573","2165","2844","330","1636","4569","729","-070","-098","1129","587","1546","1011"
"1996-97","1876319","491484","415377","525864","57718","311226","853843","2619","2214","2803","308","1659","4551","797","992","1040","639","055","950","753"
"1997-98","1957032","478933","403030","546966","63380","311385","930089","2447","2059","2795","324","1591","4753","430","-255","-297","401","981","005","893"
"1998-99","2087828","509203","431719","569656","65171","321137","1007138","2439","2068","2728","312","1538","4824","668","632","712","415","283","313","828"
"1999-2K","2246276","522795","442113","603631","67902","338458","1119850","2327","1968","2687","302","1507","4985","759","267","241","596","419","539","1119"
"2000-01","2342774","522755","439432","640043","69472","363163","1179976","2231","1876","2732","297","1550","5037","430","-001","-061","603","231","730","537"
"2001-02","2472052","554157","467815","656737","70766","371408","1261158","2242","1892","2657","286","1502","5102","552","601","646","261","186","227","688"
"2002-03","2570690","517559","429752","704095","76721","396912","1349035","2013","1672","2739","298","1544","5248","399","-660","-814","721","842","687","697"
"2003-04","2777813","564391","476324","755625","78792","422062","1457797","2032","1715","2720","284","1519","5248","806","905","1084","732","270","634","806"
"2004-05","2971464","565426","476634","829783","85028","453225","1576255","1903","1604","2793","286","1525","5305","697","018","007","981","791","738","813"
"2005-06","3253073","594487","502996","910413","86141","499020","1748173","1827","1546","2799","265","1534","5374","948","514","553","972","131","1010","1091"
"2006-07","3564364","619190","523745","1021204","92578","570458","1923970","1737","1469","2865","260","1600","5398","957","416","413","1217","747","1432","1006"
"2007-08","3896636","655080","556956","1119995","95997","629073","2121561","1681","1429","2874","246","1614","5445","932","580","634","967","369","1028","1027"
"2008-09","4158676","655689","555442","1169736","98055","656302","2333251","1577","1336","2813","236","1578","5611","672","009","-027","444","214","433","998"
"2009-10","4516071","660987","557715","1276919","103830","730435","2578165","1464","1235","2827","230","1617","5709","859","081","041","916","589","1130","1050"
"2010-11","4937006","713477","606848","1393879","108938","801476","2829650","1445","1229","2823","221","1623","5732","932","794","881","916","492","973","975"
"2011-12","5243582","739495","630540","1442498","108249","823023","3061589","1410","1202","2751","206","1570","5839","621","365","390","349","-063","269","820"
