date,latitude,longitude,depth,magnitude
1910-03-30T23:55:00.000Z,-21,170,80,7.1
1910-04-01T01:13:00.000Z,-71,-6,0,7.1
1910-04-12T07:22:00.000Z,25,123,200,7.6
1910-05-02T01:30:00.000Z,-20,169,80,7.1
1910-06-01T12:55:00.000Z,-20,169,80,7.3
1910-06-01T13:48:00.000Z,-20,169,80,7.1
1910-06-16T13:30:00.000Z,-19,169.5,100,7.9
1910-06-29T17:45:00.000Z,-32,-176,0,7.2
1910-08-21T12:38:00.000Z,-17,-179,600,7.4
1910-09-07T02:59:00.000Z,-25,-70,0,7.1
1910-09-07T14:11:00.000Z,-6,151,80,7.2
1910-10-05T06:00:00.000Z,-22,-69,120,7.2
1910-11-09T14:02:00.000Z,-16,166,70,7.5
1910-11-10T20:19:00.000Z,-14,166.5,90,7.1
1910-11-15T22:21:00.000Z,-58,-22,60,7.2
1910-11-26T12:41:00.000Z,-14,167,50,7.2
1910-12-10T17:26:00.000Z,-11,162.5,50,7.2
1910-12-13T19:37:00.000Z,-8,31,0,7.6
1910-12-15T04:46:00.000Z,-21,-178,600,7.2
1910-12-16T22:45:00.000Z,4.5,126.5,0,7.6
1911-01-04T07:25:00.000Z,43.5,77.5,0,7.8
1911-02-19T02:41:00.000Z,40,73,0,7.2
1911-05-05T06:36:00.000Z,51,157,240,7.4
1911-06-07T18:02:00.000Z,17.5,-102.5,0,7.6
1911-06-15T21:26:00.000Z,28,130,90,8.1
1911-07-04T20:33:00.000Z,36,70.5,190,7.4
1911-07-12T11:07:00.000Z,9,126,0,7.5
1911-08-17T05:41:00.000Z,7,137,0,7.7
1911-08-21T23:28:00.000Z,-21,-176,300,7.2
1911-09-15T20:10:00.000Z,-20,-72,0,7.1
1911-09-17T10:26:00.000Z,51,180,0,7.1
1911-11-23T07:05:00.000Z,-15,169,200,7.3
1911-12-17T03:14:00.000Z,17,-100.5,50,7.6
1912-05-23T09:24:00.000Z,21,97,0,7.7
1912-07-07T14:57:00.000Z,64,-147,0,7.2
1912-08-07T04:11:00.000Z,-14,167,260,7.3
1912-08-09T08:29:00.000Z,40.5,27,0,7.6
1912-08-18T02:11:00.000Z,4,127,0,7.2
1912-09-30T03:51:00.000Z,7,138,50,7.5
1912-11-07T15:40:00.000Z,57.5,-155,90,7.3
1912-12-08T06:46:00.000Z,-29,-62.5,620,7.3
1912-12-09T16:32:00.000Z,15.5,-93,0,7.1
1913-01-11T21:16:00.000Z,1.5,122,0,7.2
1913-03-14T15:45:00.000Z,4.5,126.5,0,7.9
1913-03-24T03:47:00.000Z,24,142,80,7.1
1913-04-26T00:56:00.000Z,9.5,128.8,0,7.2
1913-05-30T18:46:00.000Z,-5,154,0,7.7
1913-06-26T11:57:00.000Z,-20,-174,0,7.7
1913-08-02T00:10:00.000Z,47.5,155.5,0,7.5
1913-08-07T05:14:00.000Z,-17,-74,0,7.8
1913-08-13T11:25:00.000Z,-5.5,105,75,7.3
1913-10-14T15:08:00.000Z,-19.5,169,230,7.6
1913-11-11T05:12:00.000Z,-18,169,80,7.2
1913-11-15T13:27:00.000Z,-23,171,150,7.1
1913-12-21T23:37:00.000Z,24.5,102,0,7.2
