Year,Value
1992,27.7
1993,27.4
1994,27.2
1995,27.1
1996,26.8
1997,26.6
1998,26.3
1999,26.2
2000,25.9
2001,25.6
2002,25.2
2003,24.9
2004,24.6
2005,24
2006,23.3
2007,22.6
2008,22.1
2009,21.7
2010,21.4
2011,20.9
2012,20.6
2013,20.4
2014,20.5
