date,latitude,longitude,depth,magnitude
1900-01-06T03:00:00.000Z,-3,102,0,7
1900-01-11T17:07:00.000Z,-5,148,0,7
1900-01-18T15:46:00.000Z,44.5,148.5,35,6.7
1900-01-20T14:33:00.000Z,20,-105,0,7.3
1900-02-01T03:22:00.000Z,48,146,450,7.5
1900-04-25T06:16:00.000Z,27,126.5,35,6.9
1900-05-12T00:23:00.000Z,38.7,141.1,5,7
1900-05-17T03:12:00.000Z,20,-105,0,6.9
1900-06-22T03:52:00.000Z,10,-85.5,0,7.2
1900-07-29T13:59:00.000Z,-10,165,0,7.6
1900-08-05T11:21:00.000Z,37.3,141.7,35,6.6
1900-08-29T09:32:00.000Z,41.2,142.8,35,6.8
1900-09-18T04:45:00.000Z,-5,148,0,7.1
1900-10-08T04:04:00.000Z,-4,140,0,6.9
1900-10-09T19:28:00.000Z,57.09,-153.48,0,7.7
1900-10-29T16:11:00.000Z,11,-66,0,7.7
1900-11-05T15:42:00.000Z,33.9,139.4,5,6.6
1900-11-10T00:10:00.000Z,13,-90,0,7
1900-11-12T09:06:00.000Z,3,147,0,6.9
1900-11-24T15:57:00.000Z,43.5,148,35,7
1900-12-25T13:09:00.000Z,43,146,35,7.1
1901-01-07T08:29:00.000Z,-2,-82,0,7.2
1901-01-14T06:41:00.000Z,42.3,143.8,35,6.8
1901-01-18T12:39:00.000Z,60,-135,0,7.1
1901-02-15T08:00:00.000Z,26,100.1,0,6.5
1901-03-05T18:45:00.000Z,25,-110,0,6.9
1901-03-16T18:56:00.000Z,-10,40,0,6.9
1901-04-06T04:53:00.000Z,2,130,0,6.8
1901-04-06T06:30:00.000Z,44.5,149,35,7.3
1901-04-21T07:00:00.000Z,29.5,90.1,0,6.8
1901-05-14T13:51:00.000Z,44.5,149,35,6.6
1901-05-25T07:32:00.000Z,-10,160,0,7.2
1901-06-15T16:34:00.000Z,39,143,35,7
1901-06-24T14:02:00.000Z,28,130,35,7.2
1901-06-24T20:40:00.000Z,28,130,35,6.5
1901-08-09T16:23:00.000Z,40.5,142.5,35,7.2
1901-08-09T20:01:00.000Z,-22,170,0,7.9
1901-08-10T01:33:00.000Z,40.6,142.3,35,7.5
1901-08-10T17:27:00.000Z,-5,155,0,6.9
1901-08-11T21:32:00.000Z,-23,178,0,6.8
1901-09-09T00:42:00.000Z,-11,170,0,6.9
1901-09-30T17:19:00.000Z,40.2,141.9,35,6.8
1901-10-08T09:14:00.000Z,13,-87,0,7.1
1901-11-16T04:15:00.000Z,-43,173,0,6.8
1901-11-25T09:51:00.000Z,3,127,0,7
1901-12-09T10:17:00.000Z,26,-110,0,7.1
1901-12-15T06:57:00.000Z,14,122,0,7
1901-12-31T17:02:00.000Z,52,-177,0,7.1
1902-01-01T13:20:00.000Z,55,-165,0,7
1902-01-13T06:18:00.000Z,3,122,0,7
1902-01-18T03:38:00.000Z,41.6,141.9,35,6.5
1902-01-25T07:27:00.000Z,-8,150,0,7.2
1902-01-30T22:01:00.000Z,40.5,141.3,35,6.9
1902-01-31T07:15:00.000Z,40.9,141.7,0,6.9
1902-01-31T09:42:00.000Z,41.6,142.2,35,6.6
1902-02-09T15:35:00.000Z,-20,-174,0,6.9
1902-02-09T18:12:00.000Z,-43,-171,0,6.9
1902-02-17T08:31:00.000Z,20,-70,0,6.9
1902-02-20T23:38:00.000Z,41.4,141.8,35,6.7
1902-03-06T03:03:00.000Z,-20,-70,0,6.8
1902-03-23T05:12:00.000Z,35,-120,0,6.8
1902-03-28T21:44:00.000Z,0,133,0,6.9
1902-04-12T06:43:00.000Z,51.6,104.5,16,6.6
1902-04-19T09:23:00.000Z,14,-91,0,7.5
1902-05-02T18:31:00.000Z,39,144,35,7
1902-05-08T09:19:00.000Z,30.5,131.5,35,6.6
1902-05-28T16:01:00.000Z,42.8,144.8,35,6.5
1902-07-03T22:36:00.000Z,43.2,129.6,20,6.7
1902-07-06T20:01:00.000Z,-25,-175,0,6.8
1902-08-22T10:00:00.000Z,40,77,0,7.7
1902-08-31T04:48:00.000Z,40,77,0,6.8
1902-09-22T08:46:00.000Z,18,146,0,7.5
1902-09-24T03:18:00.000Z,16,-93,0,7.8
1902-10-06T16:15:00.000Z,36.5,70.5,200,7.2
1902-11-04T19:33:00.000Z,36,96,0,6.9
1902-11-21T04:27:00.000Z,-22,170,0,6.9
1902-11-21T15:03:00.000Z,22.5,121.5,5,6.8
1902-12-13T07:10:00.000Z,29,-114,0,7.1
1903-01-04T13:07:00.000Z,-20,-175,400,7.8
1903-01-14T09:47:00.000Z,15,-98,0,7.4
1903-01-18T00:05:00.000Z,50,-170,0,7
1903-02-01T17:34:00.000Z,48,98,0,7.1
1903-02-03T20:14:00.000Z,34,137,100,6.5
1903-02-06T02:26:00.000Z,52,175,0,6.8
1903-02-27T08:43:00.000Z,-8,106,0,7.3
1903-04-19T20:25:00.000Z,37,71,160,6.9
1903-04-29T10:59:00.000Z,-20,-175,0,7.1
1903-05-13T13:34:00.000Z,-17,168,0,7
1903-06-02T20:17:00.000Z,57,-156,0,6.9
1903-08-11T11:32:00.000Z,36.36,22.97,80,8.1
1903-10-29T21:19:00.000Z,-20,167,0,6.9
1903-10-30T10:54:00.000Z,-20,175,0,6.8
1903-11-26T19:49:00.000Z,52.7,107.6,30,6.7
1903-12-07T22:44:00.000Z,-27,-70,0,6.8
1903-12-23T08:53:00.000Z,-10,165,0,6.8
1903-12-28T10:56:00.000Z,7,127,0,7.1
1904-01-07T22:50:00.000Z,-50,165,0,6.9
1904-01-20T22:52:00.000Z,7,-79,0,7.2
1904-03-18T20:42:00.000Z,42.7,146.1,35,6.8
1904-03-19T13:28:00.000Z,-29,-71,0,7
1904-04-04T17:26:00.000Z,41.75,23.25,0,7.1
1904-05-01T13:37:00.000Z,-33,-178,0,6.8
1904-05-01T22:24:00.000Z,2,130,0,7
1904-06-07T15:17:00.000Z,39,135,350,7.4
1904-06-25T21:45:00.000Z,52,159,0,7.5
1904-06-26T04:00:00.000Z,52,159,0,7.6
1904-06-27T07:09:00.000Z,52,159,0,7.2
1904-07-24T17:44:00.000Z,52,159,0,6.7
1904-08-09T05:49:00.000Z,-42,179,0,6.9
1904-08-25T03:59:00.000Z,30,131,35,7.1
1904-08-28T04:56:00.000Z,64,-151,0,7.2
1904-08-30T18:42:00.000Z,30,101,0,6.8
1904-10-03T10:05:00.000Z,12,58,0,7
1904-10-28T20:51:00.000Z,8,113,0,7
1904-12-20T13:44:00.000Z,8.5,-83,0,7.2
1904-12-28T06:47:00.000Z,31,138,100,6.7
1905-01-13T21:18:00.000Z,0,143,0,6.8
1905-01-22T10:43:00.000Z,1,123,90,7.8
1905-02-14T16:46:00.000Z,53,-178,0,7.2
1905-02-17T19:42:00.000Z,26,96,0,6.8
1905-02-19T12:35:00.000Z,-10,168,0,6.8
1905-02-28T01:25:00.000Z,-23,-176,0,6.9
1905-03-05T00:00:00.000Z,-4,149,60,6.9
1905-03-05T07:17:00.000Z,-4,149,0,6.8
1905-03-18T07:58:00.000Z,-27.5,-173,60,7.3
1905-03-19T06:56:00.000Z,-10,168,0,7.2
1905-03-22T10:38:00.000Z,50,180,0,7
1905-04-04T07:50:00.000Z,33,76,0,7.8
1905-04-19T19:25:00.000Z,-32,-171,0,6.8
1905-04-27T04:43:00.000Z,-21,-70,60,6.8
1905-05-18T20:45:00.000Z,-4,149,0,6.9
1905-06-02T12:39:00.000Z,34.1,132.5,55,7
1905-06-14T18:30:00.000Z,-20,-175,0,7
1905-07-01T00:07:00.000Z,-20,-175,0,7.1
1905-07-06T23:21:00.000Z,37.4,141.8,35,7.1
1905-07-07T05:17:00.000Z,42,132,100,6.5
1905-07-09T16:40:00.000Z,49.4,97.3,0,8
1905-07-11T15:38:00.000Z,49.5,97.3,20,7
1905-07-11T22:37:00.000Z,22,143,450,7.2
1905-07-15T05:01:00.000Z,49.5,97.3,20,6.5
1905-07-23T09:46:00.000Z,49.3,94.9,0,8.5
1905-08-25T16:46:00.000Z,43,131,500,6.6
1905-09-01T09:45:00.000Z,45,143,250,7.3
1905-09-08T08:43:00.000Z,39,16,0,6.8
1905-09-15T13:02:00.000Z,55,165,0,7.3
1905-09-26T08:26:00.000Z,29,74,60,6.9
1905-10-21T18:01:00.000Z,42,42,60,7.3
1905-11-09T06:06:00.000Z,40,24,0,6.8
