"Package","Item","Title","csv","doc"
"datasets","AirPassengers","Monthly Airline Passenger Numbers 1949-1960","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/AirPassengers.html"
"datasets","BJsales","Sales Data with Leading Indicator","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BJsales.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/BJsales.html"
"datasets","BOD","Biochemical Oxygen Demand","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BOD.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/BOD.html"
"datasets","Formaldehyde","Determination of Formaldehyde","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Formaldehyde.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/Formaldehyde.html"
"datasets","HairEyeColor","Hair and Eye Color of Statistics Students","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/HairEyeColor.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/HairEyeColor.html"
"datasets","InsectSprays","Effectiveness of Insect Sprays","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/InsectSprays.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/InsectSprays.html"
"datasets","JohnsonJohnson","Quarterly Earnings per Johnson & Johnson Share","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/JohnsonJohnson.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/JohnsonJohnson.html"
"datasets","LakeHuron","Level of Lake Huron 1875-1972","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LakeHuron.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/LakeHuron.html"
"datasets","LifeCycleSavings","Intercountry Life-Cycle Savings Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LifeCycleSavings.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/LifeCycleSavings.html"
"datasets","Nile","Flow of the River Nile","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Nile.csv","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/Nile.html"
