"","age","y"
"1","g3",569.5
"2","g3",895.5
"3","g3",1111
"4","g3",1182
"5","g3",1277.5
"6","g3",1384
"7","g3",1464.5
"8","g3",2453
"9","g3",2538
"10","g3",2539.5
"11","g3",2830.5
"12","g3",2852
"13","g3",2865
"14","g3",2945
"15","g3",3023
"16","g3",3024.5
"17","g3",3171.5
"18","g3",3338.5
"19","g3",3419
"20","g3",3519.5
"21","g3",3519.5
"22","g3",3556.5
"23","g3",3619.5
"24","g3",3641
"25","g3",3748
"26","g3",3848.5
"27","g3",3984.5
"28","g3",4006.5
"29","g3",4028.5
"30","g3",4056
"31","g3",4066
"32","g3",4076.5
"33","g3",4113
"34","g3",4122
"35","g3",4262.5
"36","g3",4357.5
"37","g3",4430.5
"38","g3",4438
"39","g3",4598
"40","g3",4607
"41","g3",4616.5
"42","g3",4755
"43","g3",4791
"44","g3",4862
"45","g3",4921.5
"46","g3",4951
"47","g3",4970
"48","g3",5042
"49","g3",5042.5
"50","g3",5088
"51","g3",5094
"52","g3",5166
"53","g3",5337
"54","g3",5344.5
"55","g3",5440.5
"56","g3",5468
"57","g3",5512
"58","g3",5580
"59","g3",5630
"60","g3",5637
"61","g3",5661
"62","g3",5668
"63","g3",5685
"64","g3",5755
"65","g3",5808
"66","g3",5860
"67","g3",6046.5
"68","g3",6206.5
"69","g3",6230.5
"70","g3",6364.5
"71","g3",6377.5
"72","g3",6412
"73","g3",6464.5
"74","g3",6490
"75","g3",6602
"76","g3",6607.5
"77","g3",6622
"78","g3",6704.5
"79","g3",6869
"80","g3",6878
"81","g3",6970
"82","g3",6976
"83","g3",6990
"84","g3",7003.5
"85","g3",7009.5
"86","g3",7034.5
"87","g3",7044
"88","g3",7062
"89","g3",7083.5
"90","g3",7153.5
"91","g3",7181.5
"92","g3",7291.5
"93","g3",7363.5
"94","g3",7388.5
"95","g3",7559
"96","g3",7574.5
"97","g3",7577
"98","g3",7586.5
"99","g3",7625.5
"100","g3",7646.5
"101","g3",7654.5
"102","g3",7718
"103","g3",7789
"104","g3",7790
"105","g3",7834
"106","g3",7871
"107","g3",7941
"108","g3",7988
"109","g3",7993.5
"110","g3",7996
"111","g3",8037.5
"112","g3",8052
"113","g3",8205
"114","g3",8234
"115","g3",8257.5
"116","g3",8286
"117","g3",8290.5
"118","g3",8367
"119","g3",8381
"120","g3",8390
"121","g3",8397
"122","g3",8398
"123","g3",8434.5
"124","g3",8480.5
"125","g3",8522
"126","g3",8548.5
"127","g3",8566
"128","g3",8596
"129","g3",8655.5
"130","g3",8765.5
"131","g3",8847.5
"132","g3",8881.5
"133","g3",8928
"134","g3",9002.5
"135","g3",9004.5
"136","g3",9021.5
"137","g3",9205.5
"138","g3",9232.5
"139","g3",9260
"140","g3",9274
"141","g3",9279
"142","g3",9316
"143","g3",9334.5
"144","g3",9425.5
"145","g3",9440.5
"146","g3",9511
"147","g3",9516
"148","g3",9521
"149","g3",9543
"150","g3",9574
"151","g3",9617.5
"152","g3",9631.5
"153","g3",9631.5
"154","g3",9631.5
"155","g3",9677
"156","g3",9817
"157","g3",9817.5
"158","g3",9827.5
"159","g3",9841.5
"160","g3",9860
"161","g3",9931
"162","g3",9975
"163","g3",9984.5
"164","g3",10030
"165","g3",10041.5
"166","g3",10057
"167","g3",10063.5
"168","g3",10089
"169","g3",10112
"170","g3",10115.5
"171","g3",10140
"172","g3",10232.5
"173","g3",10270
"174","g3",10441.5
"175","g3",10442
"176","g3",10486
"177","g3",10492
"178","g3",10510.5
"179","g3",10637
"180","g3",10648
"181","g3",10680
"182","g3",10748.5
"183","g3",10764
"184","g3",10772
"185","g3",10785.5
"186","g3",10799
"187","g3",10813
"188","g3",10840
"189","g3",10899
"190","g3",10929.5
"191","g3",11032.5
"192","g3",11055.5
"193","g3",11060
"194","g3",11079.5
"195","g3",11096
"196","g3",11264
"197","g3",11276.5
"198","g3",11291
"199","g3",11293.5
"200","g3",11293.5
"201","g3",11293.5
"202","g3",11299
"203","g3",11307.5
"204","g3",11651
"205","g3",11665
"206","g3",11702
"207","g3",11719.5
"208","g3",11772
"209","g3",11774.5
"210","g3",11815.5
"211","g3",11847
"212","g3",11860
"213","g3",11861.5
"214","g3",11864.5
"215","g3",11900.5
"216","g3",11901
"217","g3",11917.5
"218","g3",11921
"219","g3",11932.5
"220","g3",11980.5
"221","g3",11982
"222","g3",12029.5
"223","g3",12036.5
"224","g3",12089.5
"225","g3",12145.5
"226","g3",12153
"227","g3",12186.5
"228","g3",12206.5
"229","g3",12249
"230","g3",12282.5
"231","g3",12309
"232","g3",12337.5
"233","g3",12362.5
"234","g3",12410
"235","g3",12412
"236","g3",12427
"237","g3",12431.5
"238","g3",12494
"239","g3",12503
"240","g3",12531.5
"241","g3",12544
"242","g3",12557.5
"243","g3",12571.5
"244","g3",12571.5
"245","g3",12571.5
"246","g3",12585.5
"247","g3",12650.5
"248","g3",12654
"249","g3",12659
"250","g3",12747.5
"251","g3",12808
"252","g3",12814.5
"253","g3",12827
"254","g3",12887.5
"255","g3",12895.5
"256","g3",12898.5
"257","g3",12928
"258","g3",12938.5
"259","g3",12956
"260","g3",12983.5
"261","g3",12984
"262","g3",12996
"263","g3",13056
"264","g3",13057
"265","g3",13089.5
"266","g3",13187.5
"267","g3",13203.5
"268","g3",13228.5
"269","g3",13331.5
"270","g3",13354.5
"271","g3",13396
"272","g3",13409.5
"273","g3",13422
"274","g3",13423
"275","g3",13430
"276","g3",13446.5
"277","g3",13473
"278","g3",13487
"279","g3",13488
"280","g3",13498
"281","g3",13519.5
"282","g3",13557
"283","g3",13567.5
"284","g3",13612
"285","g3",13622.5
"286","g3",13650
"287","g3",13726
"288","g3",13741
"289","g3",13795.5
"290","g3",13822
"291","g3",13829
"292","g3",13863
