Sl.No., States/Union Territories,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
11,Maharashtra,105,101,116,89,92,83,108,81,86,75,79,70,79,76,68,63,66,68,59,58,60,59,50,55,55,48,47,49,48,48,45,45,42,36,36,35,34,33,31,28,25
12,Odisha,127,131,145,150,149,127,147,133,149,143,135,132,126,131,132,123,126,122,121,122,124,115,110,103,103,95,96,98,97,95,91,87,83,77,75,73,71,69,65,61,57
13,Punjab,102,119,115,97,98,108,105,117,92,89,81,75,80,66,71,68,62,62,64,61,53,56,55,53,54,51,51,54,53,52,52,51,49,45,44,44,43,41,38,34,30
14,Rajasthan,NA,123,137,133,155,142,142,140,108,105,108,97,109,122,108,107,102,103,96,84,79,90,82,84,86,85,85,83,81,79,80,78,75,67,68,67,65,63,59,55,52
15,Tamil Nadu,113,121,108,106,112,110,103,105,100,93,91,83,87,78,81,80,76,74,68,59,57,58,56,59,54,53,53,53,52,51,49,44,43,41,37,37,35,31,28,24,22
16,Uttar Pradesh,167,202,176,172,198,178,168,177,162,159,150,147,155,155,142,132,127,124,118,99,97,98,94,88,86,85,85,85,84,83,83,80,76,72,73,71,69,67,63,61,57
17,West Bengal,NA,NA,NA, NA, NA, NA, NA, NA, NA, NA,91,86,84,82,74,71,71,69,77,63,71,65,58,62,58,55,55,53,52,51,51,49,46,40,38,38,37,35,33,31,32
20,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,44,43,44,39,37,34,38,37,40,37,32,32,31,32
21,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,36,31,32,29,30,28,32,35,37,36,35,33,30,28
22,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,21,23,19,17,16,17,16,15,13,10,11,10,11
23,Himachal Pradesh,NA,NA,85,100,118,127,101,101,87,87,71,68,80,90,84,88,82,80,75,69,75,69,66,59,63,63,63,68,54,51,43,61,42,51,49,50,47,44,45,40,38
24,Jammu & Kashmir,NA,NA,65,76,68,68,62,73,76,72,72,68,71,78,85,81,71,71,66,70, NA, NA, NA, NA, NA, NA, NA,45,52,50,48,45,45,49,50,52,51,49,45,43,41
23,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,25,23,20,14,16,14,13,11,12,14,16,14,11
24,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,52,56,58,56,61,57,54,49,53,56,58,59,55,52
25,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,19,21,19,14,16,19,20,25,23,37,36,37,34
26,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,18,20,21,26,26,23,21
27,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,52,49,49,42,34,33,32,30,33,34,33,34,30,26
28,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,49,42,41,39,34,32,32,31,36,39,34,31,27,29
29,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,50,48,41,41,42,42,43,48,44,41,38,36
30,A&N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,30,25,23,18,15,18,19,27,31,34,31,27,25,23
31,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,32,28,28,24,21,19,21,19,23,27,28,25,22,20
32,D&N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,61,56,58,58,56,54,48,42,35,34,34,37,38,35
33,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,51,35,48,40,42,39,37,28,28,27,31,24,23,22
34,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,26,32,27,33,25,26,30,22,25,24,31,25,25,24
35,Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,21,22,23,22,22,24,24,28,28,25,25,22,22,19
36,ALL INDIA,129,139,134,126,140,129,130,127,120,114,110,105,105,104,97,96,95,94,91,80,80,79,74,74,74,72,71,72,70,68,66,63,60,58,58,57,55,53,50,47,44
